"File: DDELog(Excel:M10	1	1)::C:\Users\user\Desktop\clemens\19_07_22_ DRG_AOP\M10_DRG_19_7\M10.LOG"
"Date: Tue Jul 19 2022 16:13:56.373"
0.0000, "Wavelength Names:	340	385	GFP	Wavelength 4	555"
"Time (sec)"
50.7450
0.0000, "Clock reset to 0.0"
"Region 1: [Location: (57, 125), Size: (44, 37), Area: 1248]"
"Region 2: [Location: (181, 89), Size: (48, 38), Area: 1400]"
"Region 3: [Location: (376, 166), Size: (42, 47), Area: 1522]"
"Region 4: [Location: (407, 260), Size: (29, 29), Area: 653]"
"Region 5: [Location: (447, 313), Size: (24, 26), Area: 484]"
"Region 6: [Location: (489, 316), Size: (22, 28), Area: 476]"
"Region 7: [Location: (413, 421), Size: (37, 48), Area: 1354]"
"Region 8: [Location: (138, 273), Size: (31, 33), Area: 791]"
"Region 9: [Location: (67, 224), Size: (57, 51), Area: 2243]"
"Region 10: [Location: (154, 356), Size: (47, 57), Area: 2073]"
"Region 11: [Location: (0, 311), Size: (34, 58), Area: 1506]"
"Region 12: [Location: (178, 215), Size: (25, 36), Area: 698]"
"Region 13: [Location: (234, 286), Size: (49, 51), Area: 1927]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R2 W1 Avg", "R2 W2 Avg", "R3 W1 Avg", "R3 W2 Avg", "R4 W1 Avg", "R4 W2 Avg", "R5 W1 Avg", "R5 W2 Avg", "R6 W1 Avg", "R6 W2 Avg", "R7 W1 Avg", "R7 W2 Avg", "R8 W1 Avg", "R8 W2 Avg", "R9 W1 Avg", "R9 W2 Avg", "R10 W1 Avg", "R10 W2 Avg", "R11 W1 Avg", "R11 W2 Avg", "R12 W1 Avg", "R12 W2 Avg", "R13 W1 Avg", "R13 W2 Avg"
2.6400, 1705.4679, 3529.4792, 1695.0436, 4119.5279, 1744.3712, 4191.8771, 1681.3063, 3462.9433, 1677.9298, 3053.0351, 1670.7836, 3421.2500, 1696.5118, 4576.4786, 1668.3312, 3312.1656, 1679.3812, 3089.4717, 1729.3459, 5613.1901, 1729.9044, 4445.0345, 1616.7206, 1657.4226, 1613.8236, 1654.0358
3.6400, 1686.8245, 3524.0689, 1673.8386, 4117.7186, 1726.1689, 4190.6590, 1663.6907, 3462.7504, 1659.6921, 3051.3822, 1650.4958, 3420.3950, 1680.3545, 4575.0436, 1655.8394, 3309.8394, 1663.6286, 3086.8863, 1716.4756, 5613.0786, 1713.0106, 4440.9110, 1599.1246, 1655.0630, 1594.9009, 1651.5402
4.6400, 1685.9583, 3527.9046, 1673.1750, 4117.5500, 1727.4389, 4185.7825, 1663.5773, 3460.3905, 1658.3616, 3056.9153, 1649.0273, 3419.6639, 1681.1071, 4568.3479, 1655.0000, 3310.6182, 1662.8787, 3084.3174, 1716.2383, 5609.4284, 1713.2829, 4440.2278, 1597.0960, 1655.2894, 1593.2880, 1651.5392
5.6400, 1686.4030, 3521.8173, 1673.0764, 4115.0429, 1728.5723, 4188.7950, 1663.9740, 3459.3216, 1658.3161, 3047.7789, 1651.4202, 3415.9916, 1680.3730, 4569.6773, 1656.5563, 3302.1277, 1662.7254, 3081.9407, 1715.2586, 5614.6440, 1713.3147, 4441.4648, 1596.0372, 1655.8968, 1594.5345, 1650.6674
6.6400, 1684.7588, 3524.5489, 1672.8100, 4111.3000, 1727.3042, 4179.8226, 1662.6508, 3460.6600, 1657.7128, 3055.9897, 1647.7836, 3418.4097, 1681.2031, 4565.1034, 1654.2996, 3308.8812, 1663.0419, 3080.0089, 1715.8611, 5612.8302, 1713.2815, 4441.1773, 1597.4957, 1654.7794, 1593.8464, 1652.0535
8.4150, 1686.3758, 3520.8494, 1673.1543, 4114.9243, 1727.3883, 4184.8049, 1664.8913, 3458.8560, 1658.4112, 3051.1880, 1650.4097, 3414.5546, 1681.9623, 4561.4926, 1657.3881, 3308.6030, 1663.0192, 3081.2813, 1716.2349, 5615.4597, 1714.2377, 4431.5890, 1598.8983, 1655.5716, 1596.3980, 1651.3731
9.4150, 1684.8558, 3513.5457, 1673.1379, 4115.5207, 1725.8929, 4177.0670, 1664.3905, 3458.0521, 1656.7438, 3053.0248, 1647.1450, 3419.1050, 1679.5133, 4561.8183, 1655.1024, 3298.4096, 1662.7245, 3079.8948, 1714.8693, 5616.1278, 1712.3313, 4433.5518, 1596.9327, 1653.2292, 1593.9502, 1651.6767
10.4150, 1686.7837, 3514.0232, 1672.8850, 4106.8686, 1727.1222, 4183.4750, 1664.6095, 3457.2021, 1656.6777, 3053.1095, 1648.5525, 3421.5819, 1679.0820, 4560.6329, 1654.2187, 3301.2061, 1662.7650, 3077.0178, 1715.7289, 5619.1505, 1713.4263, 4435.5319, 1597.7736, 1652.6819, 1594.0042, 1650.4971
11.4150, 1685.4888, 3510.4936, 1672.8293, 4105.0043, 1727.1393, 4181.5085, 1662.4319, 3455.0919, 1658.6880, 3048.8347, 1647.0882, 3421.1870, 1679.9801, 4556.8922, 1655.8293, 3300.2832, 1663.9813, 3078.7486, 1714.5345, 5617.8997, 1711.1089, 4434.0266, 1599.2665, 1654.6848, 1593.7919, 1651.6450
12.4150, 1686.5264, 3510.5272, 1673.3757, 4103.4350, 1727.3154, 4180.7523, 1662.6554, 3452.2573, 1659.7934, 3052.5331, 1649.4370, 3416.5210, 1680.6226, 4560.6204, 1652.7661, 3297.9532, 1662.8992, 3077.9429, 1715.0907, 5620.8123, 1712.8048, 4425.7769, 1598.2894, 1655.4126, 1594.0768, 1650.5319
13.4150, 1685.8309, 3501.3237, 1673.0207, 4113.8036, 1726.9645, 4182.3180, 1663.6646, 3457.0980, 1657.9876, 3048.0971, 1651.1303, 3413.0462, 1679.6004, 4547.3700, 1655.4791, 3295.9747, 1662.4454, 3076.6821, 1715.4091, 5620.9479, 1713.0505, 4427.0803, 1596.7794, 1653.4255, 1595.7187, 1649.9964
14.4150, 1685.0561, 3507.2452, 1673.9507, 4106.8357, 1728.2234, 4180.1689, 1665.2343, 3455.1011, 1658.7500, 3044.7355, 1649.5882, 3412.4370, 1680.4845, 4554.6381, 1657.8230, 3299.2705, 1664.7044, 3077.6576, 1715.2668, 5625.1756, 1713.5744, 4428.1853, 1598.9957, 1655.8954, 1595.4852, 1651.4333
15.4150, 1685.6843, 3508.2933, 1674.3543, 4107.8543, 1726.5894, 4179.5861, 1664.7565, 3451.8147, 1657.5661, 3045.6446, 1649.7731, 3408.7647, 1679.6462, 4556.0332, 1656.2010, 3294.7547, 1663.2782, 3075.5635, 1715.0328, 5624.0589, 1712.3679, 4424.5564, 1596.5731, 1652.6533, 1594.6736, 1650.8817
16.4150, 1686.8317, 3506.9423, 1674.5793, 4107.8357, 1727.5657, 4180.2746, 1664.8285, 3448.0352, 1660.0744, 3051.1715, 1649.6324, 3415.7227, 1679.4616, 4553.8346, 1656.9102, 3289.6308, 1664.7142, 3077.2430, 1715.9884, 5625.4689, 1714.5113, 4424.9748, 1598.6777, 1653.9284, 1595.8900, 1651.9154
17.4150, 1685.8742, 3505.0361, 1674.1607, 4104.1350, 1727.5329, 4179.9816, 1664.4594, 3448.7228, 1659.7128, 3051.7748, 1649.6933, 3411.2311, 1680.2208, 4547.0768, 1654.8963, 3286.1820, 1662.6683, 3077.7927, 1715.4110, 5623.3464, 1714.3699, 4425.7138, 1596.6762, 1654.8954, 1595.9912, 1652.9113
18.4150, 1685.4688, 3505.9607, 1672.9979, 4103.8507, 1727.5296, 4179.1702, 1665.0842, 3446.9939, 1656.7789, 3045.3492, 1648.9538, 3412.7815, 1679.8257, 4549.3456, 1655.0721, 3288.8003, 1662.9799, 3073.9037, 1715.5398, 5624.4158, 1713.7497, 4426.3513, 1597.9212, 1654.0330, 1594.3975, 1649.7665
19.4150, 1685.0264, 3501.2740, 1672.6193, 4106.1771, 1725.8890, 4175.5756, 1663.7734, 3445.1838, 1658.3678, 3048.3864, 1649.2206, 3416.3151, 1679.5480, 4551.7888, 1655.6258, 3287.2453, 1662.1199, 3073.6946, 1716.2205, 5626.0092, 1713.6189, 4421.9588, 1596.7693, 1652.2865, 1593.8101, 1650.8910
20.4150, 1684.7973, 3499.7035, 1674.2736, 4102.7500, 1726.2562, 4177.5657, 1663.4900, 3440.0904, 1658.3760, 3044.3657, 1650.2647, 3407.1807, 1679.1056, 4551.8722, 1654.4791, 3286.8736, 1663.9206, 3072.3910, 1716.3049, 5623.8606, 1713.6268, 4423.0870, 1597.0186, 1654.5917, 1595.1157, 1651.2029
21.4150, 1684.6298, 3502.7684, 1674.0486, 4104.1321, 1726.4527, 4176.2536, 1664.9587, 3438.7534, 1659.0847, 3039.6591, 1649.4601, 3407.1492, 1678.8936, 4549.6418, 1654.7282, 3289.8521, 1662.8177, 3073.3553, 1714.1886, 5628.1712, 1712.3101, 4423.2078, 1596.7923, 1655.1834, 1595.3181, 1651.3217
22.4150, 1685.5152, 3498.2276, 1671.6864, 4103.6307, 1726.6708, 4178.7930, 1665.7779, 3441.3384, 1659.1426, 3041.4525, 1649.9601, 3400.8697, 1679.0281, 4549.8863, 1655.2250, 3288.7623, 1664.1155, 3069.4498, 1714.7048, 5623.2393, 1711.7729, 4418.6003, 1597.9857, 1654.4871, 1595.3638, 1650.2564
23.4150, 1685.2147, 3497.1883, 1673.4793, 4100.5786, 1727.2779, 4181.9317, 1663.5054, 3447.7136, 1659.5930, 3044.6715, 1648.7185, 3407.9769, 1679.8648, 4552.0377, 1655.3236, 3288.3894, 1662.7383, 3071.0259, 1714.6368, 5618.1954, 1713.2463, 4416.4774, 1597.6375, 1653.7092, 1595.0586, 1649.7229
24.4150, 1685.6971, 3495.8253, 1672.0057, 4102.8814, 1725.0565, 4185.4139, 1662.7412, 3440.0490, 1657.0041, 3040.1694, 1647.4244, 3406.5441, 1681.8168, 4550.4335, 1655.9608, 3286.1290, 1661.9741, 3068.9300, 1714.9904, 5624.6025, 1712.4316, 4417.0093, 1596.8295, 1653.1562, 1594.1977, 1649.9081
25.4150, 1686.1434, 3494.2444, 1672.8221, 4103.5529, 1728.7812, 4180.6531, 1663.8637, 3438.8913, 1657.2831, 3043.6488, 1648.4937, 3406.1660, 1680.1891, 4550.7386, 1655.5588, 3285.4134, 1663.2037, 3068.8827, 1714.5118, 5624.0188, 1713.1680, 4416.0810, 1597.5372, 1652.4198, 1595.1443, 1650.3451
