"File: DDELog(Excel:M11_DRG	1	1)::C:\Users\user\Desktop\clemens\20_07_22_DRG_AOP\M11_DRG_20_7\M11.LOG"
"Date: Wed Jul 20 2022 10:26:36.658"
0.0000, "Wavelength Names:	340	385	GFP	Wavelength 4	555"
"Time (sec)"
1321.8330
1355.2580
0.0000, "Clock reset to 0.0"
0.0000, "Clock reset to 0.0"
"Region 1: [Location: (120, 118), Size: (62, 63), Area: 3008]"
"Region 2: [Location: (305, 144), Size: (32, 32), Area: 788]"
"Region 3: [Location: (332, 155), Size: (33, 32), Area: 812]"
"Region 4: [Location: (278, 213), Size: (27, 28), Area: 584]"
"Region 5: [Location: (300, 224), Size: (36, 36), Area: 1000]"
"Region 6: [Location: (323, 258), Size: (40, 38), Area: 1180]"
"Region 7: [Location: (374, 248), Size: (39, 49), Area: 1483]"
"Region 8: [Location: (376, 304), Size: (26, 27), Area: 538]"
"Region 9: [Location: (63, 230), Size: (37, 33), Area: 933]"
"Region 10: [Location: (26, 264), Size: (35, 38), Area: 1026]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R2 W1 Avg", "R2 W2 Avg", "R3 W1 Avg", "R3 W2 Avg", "R4 W1 Avg", "R4 W2 Avg", "R5 W1 Avg", "R5 W2 Avg", "R6 W1 Avg", "R6 W2 Avg", "R7 W1 Avg", "R7 W2 Avg", "R8 W1 Avg", "R8 W2 Avg", "R9 W1 Avg", "R9 W2 Avg", "R10 W1 Avg", "R10 W2 Avg"
3.2570, 1780.6170, 6891.4701, 1714.7576, 4383.2652, 1719.6330, 4581.9877, 1702.0257, 4191.3938, 1708.7700, 3689.7990, 1686.0195, 3370.7780, 1719.4140, 2702.9366, 1668.2007, 2991.5967, 1627.8564, 1644.3248, 1625.2018, 1638.0244
4.2570, 1759.7104, 6883.6144, 1691.0825, 4381.4822, 1694.1108, 4580.1244, 1683.4521, 4196.2277, 1688.4970, 3684.7270, 1665.4254, 3361.6398, 1698.3230, 2607.7835, 1645.0130, 2993.3364, 1601.3430, 1641.8092, 1598.1852, 1636.4347
5.2570, 1760.1805, 6883.0665, 1690.7843, 4380.6827, 1694.4495, 4578.5985, 1684.2997, 4197.0908, 1685.0180, 3687.3060, 1663.6915, 3363.6847, 1697.1335, 2580.2468, 1645.0836, 2988.6041, 1600.6892, 1639.4534, 1597.7943, 1638.0448
6.2570, 1759.2553, 6877.8388, 1691.1637, 4380.3769, 1694.8904, 4579.0209, 1683.8031, 4194.6781, 1687.7830, 3679.4950, 1665.8924, 3359.2059, 1699.1443, 2580.7168, 1645.1524, 2984.7621, 1601.4962, 1642.1511, 1598.6131, 1637.0273
7.2570, 1760.6772, 6877.6775, 1691.8426, 4378.8896, 1696.7845, 4580.1490, 1686.0086, 4189.7466, 1687.0360, 3679.0580, 1664.6119, 3362.7051, 1697.7775, 2567.9373, 1645.6078, 2989.1524, 1601.1779, 1642.0729, 1598.2544, 1634.7554
8.2570, 1760.4584, 6869.4814, 1692.3147, 4378.8820, 1695.0603, 4572.5764, 1684.6473, 4197.6747, 1686.8190, 3682.6970, 1664.5966, 3364.7203, 1696.3041, 2609.4430, 1646.0743, 2987.8922, 1600.9968, 1640.8521, 1597.0341, 1635.3353
9.2570, 1759.9043, 6867.8816, 1691.3528, 4374.2195, 1695.9335, 4580.6958, 1683.0805, 4200.3202, 1685.8440, 3679.3060, 1665.5915, 3359.0441, 1698.1234, 2576.0742, 1644.6506, 2986.5651, 1601.0171, 1641.4909, 1597.8587, 1635.0780
10.2570, 1759.6885, 6866.7420, 1691.2246, 4377.1472, 1694.7401, 4574.0135, 1683.9743, 4192.1250, 1685.0220, 3673.8310, 1664.9653, 3357.6949, 1696.5556, 2574.8867, 1645.4089, 2985.5037, 1599.8821, 1641.0364, 1597.0897, 1635.9172
11.2570, 1759.7154, 6865.2926, 1691.4429, 4375.2297, 1695.6096, 4566.7155, 1683.9024, 4183.8887, 1686.8360, 3676.5760, 1664.6661, 3355.8102, 1697.4842, 2590.6291, 1645.2751, 2983.9387, 1600.1768, 1639.9089, 1597.9006, 1636.3967
12.2570, 1759.3364, 6864.6915, 1691.8528, 4378.2906, 1695.1970, 4567.7106, 1681.9127, 4189.8373, 1685.9350, 3675.7920, 1664.2356, 3361.6568, 1696.5347, 2585.6399, 1644.2844, 2981.9424, 1599.8403, 1640.9829, 1597.5185, 1636.8216
13.2570, 1760.2364, 6864.7211, 1691.8287, 4376.8388, 1693.8042, 4560.5246, 1684.5822, 4178.9829, 1685.2060, 3674.8160, 1665.4390, 3354.6381, 1696.5866, 2567.9211, 1644.5186, 2984.3941, 1599.8414, 1641.7106, 1596.4396, 1635.4006
14.2570, 1760.9535, 6858.6473, 1690.8033, 4377.1929, 1695.3202, 4559.0505, 1682.5000, 4172.4692, 1684.9020, 3673.1280, 1664.4534, 3352.4254, 1696.2738, 2561.9629, 1645.4349, 2981.0539, 1598.9550, 1641.8992, 1596.3908, 1636.2203
15.2570, 1759.1130, 6856.6938, 1692.2614, 4374.8629, 1696.6576, 4562.3017, 1683.3253, 4168.6216, 1685.4080, 3676.2190, 1664.6322, 3352.3542, 1696.3452, 2580.7350, 1641.9572, 2981.4424, 1600.9893, 1640.8189, 1597.3596, 1635.0682
16.2570, 1759.0881, 6851.8810, 1691.2094, 4374.3008, 1694.7980, 4554.3732, 1684.3938, 4170.8425, 1686.8200, 3668.1070, 1664.9119, 3358.3280, 1696.6339, 2583.2637, 1645.8569, 2971.8216, 1600.6217, 1641.2111, 1596.9630, 1634.1657
17.2570, 1759.7906, 6855.3068, 1692.1155, 4375.2246, 1694.7204, 4558.2537, 1682.8733, 4169.5000, 1684.9950, 3666.8410, 1665.1212, 3355.5669, 1696.6554, 2592.9568, 1645.6394, 2981.3234, 1599.2830, 1640.4362, 1598.3031, 1634.7008
18.2570, 1759.4664, 6847.0795, 1691.2475, 4370.7195, 1695.5333, 4552.0357, 1683.5000, 4162.9846, 1686.1260, 3669.4490, 1665.6254, 3358.2144, 1697.4316, 2594.1524, 1645.0056, 2976.8253, 1599.7599, 1640.2283, 1597.8187, 1634.2076
19.2570, 1760.0126, 6851.8680, 1693.4848, 4375.8718, 1696.1502, 4553.0222, 1684.5257, 4161.0051, 1686.3980, 3672.1220, 1665.4525, 3355.8229, 1697.0297, 2579.4754, 1645.2045, 2981.0725, 1600.7428, 1640.1972, 1598.3713, 1635.2671
20.2570, 1760.2919, 6845.3418, 1692.1891, 4375.9962, 1695.1404, 4546.5382, 1683.1884, 4166.4880, 1685.5800, 3667.7570, 1664.3661, 3352.9076, 1696.9737, 2592.4073, 1643.3606, 2977.2639, 1600.4159, 1638.4748, 1597.7865, 1635.3012
21.2570, 1759.5668, 6846.5834, 1691.8871, 4378.7652, 1694.1613, 4544.3005, 1683.1490, 4157.6592, 1684.4870, 3666.6060, 1664.7517, 3351.6195, 1696.1895, 2585.2900, 1644.5799, 2980.4535, 1599.2337, 1641.2862, 1598.2710, 1634.8255
22.2570, 1758.8341, 6842.5662, 1691.4835, 4379.0444, 1694.8990, 4549.1921, 1684.0445, 4158.7911, 1686.4730, 3669.4390, 1663.2314, 3355.5059, 1694.9299, 2593.0101, 1642.8978, 2976.3959, 1599.9925, 1640.3226, 1597.9415, 1634.7827
23.2570, 1759.5781, 6839.3378, 1692.4251, 4375.6193, 1694.5357, 4552.0567, 1684.3288, 4159.3767, 1687.0450, 3666.7330, 1663.8653, 3350.5653, 1695.8570, 2608.9899, 1643.0297, 2977.9052, 1601.0622, 1641.1919, 1595.6706, 1633.7817
24.2570, 1759.8088, 6839.4112, 1691.5470, 4374.7018, 1695.4828, 4548.6059, 1684.7620, 4168.6678, 1686.6930, 3666.9240, 1662.2136, 3348.3492, 1694.4228, 2583.7458, 1644.9331, 2975.9294, 1601.4212, 1641.7889, 1596.1033, 1634.2943
25.2570, 1760.0356, 6832.1200, 1692.9835, 4374.5850, 1695.4433, 4547.3079, 1683.1558, 4164.6233, 1686.4430, 3664.0370, 1665.0797, 3354.5831, 1695.4720, 2599.4390, 1643.4740, 2978.7639, 1600.1629, 1640.4352, 1597.6082, 1634.3772
26.2570, 1759.0572, 6831.3850, 1691.4074, 4370.7272, 1694.5406, 4542.6650, 1684.0188, 4160.0651, 1685.0050, 3662.7960, 1664.1703, 3353.0686, 1694.1187, 2608.3608, 1644.0781, 2977.1840, 1599.4009, 1640.8360, 1597.3519, 1634.4591
27.2570, 1760.1998, 6830.9797, 1691.8439, 4376.9911, 1694.3399, 4546.0369, 1684.1284, 4162.3510, 1686.7620, 3664.6710, 1664.7915, 3352.3059, 1696.2508, 2608.3823, 1644.2528, 2976.9405, 1602.0064, 1641.0107, 1597.8830, 1634.9795
28.2570, 1759.3733, 6827.9854, 1692.5089, 4379.6726, 1694.6576, 4544.2771, 1683.5325, 4157.6284, 1685.2600, 3665.6350, 1664.4559, 3349.4271, 1695.7458, 2598.2906, 1643.6394, 2980.3290, 1599.4534, 1640.8071, 1596.5877, 1633.7057
29.2570, 1759.4495, 6825.4435, 1692.2043, 4379.6967, 1694.4729, 4543.4532, 1683.9555, 4154.1627, 1686.2440, 3661.2670, 1663.9119, 3348.8364, 1696.8968, 2597.0351, 1645.0260, 2978.0762, 1600.0322, 1639.5723, 1598.9649, 1634.2710
30.2570, 1758.9644, 6824.2803, 1690.2284, 4379.7970, 1692.1983, 4537.0320, 1682.8065, 4157.3134, 1684.3140, 3659.8080, 1664.6703, 3350.3525, 1695.6076, 2577.2765, 1644.9442, 2979.7435, 1599.8725, 1640.8842, 1597.3138, 1634.9912
31.2570, 1758.3697, 6822.6978, 1691.1003, 4379.4391, 1695.3805, 4539.8202, 1684.1284, 4157.8613, 1684.2810, 3659.6240, 1665.3212, 3346.3407, 1696.8011, 2577.0276, 1643.0186, 2978.6264, 1600.6710, 1639.7974, 1598.4298, 1633.9025
32.2570, 1759.3078, 6822.2211, 1690.6713, 4377.1459, 1692.7537, 4539.6268, 1682.1781, 4161.1370, 1686.2730, 3658.1550, 1664.2466, 3349.5627, 1695.7943, 2590.0378, 1645.9517, 2972.8253, 1600.0268, 1639.8735, 1598.0390, 1633.0994
33.2570, 1759.8800, 6814.5066, 1692.5330, 4376.7640, 1693.9187, 4538.8941, 1684.2551, 4171.1661, 1685.1070, 3662.7090, 1664.2008, 3350.1390, 1696.2394, 2604.1881, 1644.2305, 2975.3141, 1599.6388, 1641.6292, 1597.9337, 1633.9932
34.2570, 1759.8923, 6817.0645, 1691.9607, 4373.3338, 1694.5542, 4535.1355, 1684.7003, 4165.6849, 1687.0340, 3655.5870, 1664.3305, 3348.3025, 1695.8665, 2592.5118, 1645.0985, 2975.7435, 1601.3151, 1640.8725, 1596.8470, 1633.5156
35.2570, 1759.0146, 6817.8328, 1691.5152, 4377.5317, 1693.9458, 4542.9360, 1683.9024, 4166.7175, 1685.5390, 3655.6660, 1663.3932, 3347.9254, 1695.6291, 2591.1639, 1645.0688, 2978.4926, 1600.7438, 1640.0547, 1596.7661, 1634.7622
36.2570, 1759.8324, 6817.4571, 1691.6193, 4384.1066, 1695.3633, 4530.6724, 1683.0753, 4165.2397, 1685.7920, 3655.6830, 1664.0373, 3347.5517, 1695.1288, 2620.3655, 1644.6691, 2972.2881, 1601.1554, 1640.1265, 1596.2544, 1633.7359
37.2570, 1757.9229, 6815.1672, 1690.9429, 4372.7931, 1692.8510, 4535.5517, 1682.5805, 4170.5565, 1684.4460, 3651.5650, 1662.9958, 3346.9051, 1693.9016, 2634.4194, 1645.1375, 2978.2416, 1599.0450, 1639.7771, 1596.3275, 1633.1881
38.2570, 1759.3421, 6811.9395, 1693.0622, 4372.8376, 1694.7648, 4526.9384, 1683.9795, 4177.7363, 1684.2780, 3649.0480, 1663.4686, 3344.7000, 1696.0566, 2599.1470, 1643.2063, 2973.7509, 1599.7170, 1640.8339, 1597.5448, 1632.7164
39.2570, 1759.0226, 6810.8045, 1691.3096, 4376.1358, 1694.1687, 4526.0443, 1684.4863, 4176.3887, 1688.1260, 3649.4730, 1664.1695, 3346.7771, 1696.2205, 2605.9595, 1645.2416, 2974.8271, 1601.0214, 1640.7696, 1597.3148, 1632.6267
40.2570, 1758.3856, 6808.8607, 1691.0127, 4371.9175, 1694.7155, 4525.5961, 1681.2723, 4173.6370, 1685.6080, 3652.2220, 1664.3754, 3343.3102, 1694.4255, 2612.1591, 1643.8625, 2976.1431, 1599.8607, 1640.1908, 1596.5244, 1633.9318
41.2570, 1757.6639, 6805.6968, 1690.9594, 4371.3096, 1693.8941, 4522.9360, 1683.5634, 4174.6849, 1686.0130, 3653.6840, 1665.0297, 3340.8017, 1695.7856, 2603.1976, 1644.6115, 2971.9740, 1600.6281, 1640.7728, 1597.6296, 1634.1959
