"File: DDELog(Excel:M12	1	1)::C:\Users\user\Desktop\clemens\20_07_22_DRG_AOP\M12_DRG_20_7\M12.LOG"
"Date: Wed Jul 20 2022 10:44:27.576"
0.0000, "Wavelength Names:	340	385	GFP	Wavelength 4	555"
0.0000, "Clock reset to 0.0"
"Time (sec)"
3.4880
0.0000, "Clock reset to 0.0"
"Region 1: [Location: (291, 74), Size: (60, 51), Area: 2362]"
"Region 2: [Location: (198, 178), Size: (24, 21), Area: 396]"
"Region 3: [Location: (155, 213), Size: (33, 31), Area: 791]"
"Region 4: [Location: (87, 214), Size: (65, 56), Area: 2828]"
"Region 5: [Location: (82, 266), Size: (63, 56), Area: 2730]"
"Region 6: [Location: (262, 369), Size: (77, 80), Area: 4760]"
"Region 7: [Location: (340, 425), Size: (30, 40), Area: 940]"
"Region 8: [Location: (93, 477), Size: (53, 34), Area: 1378]"
"Region 9: [Location: (85, 79), Size: (38, 34), Area: 992]"
"Region 10: [Location: (46, 136), Size: (58, 52), Area: 2328]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R2 W1 Avg", "R2 W2 Avg", "R3 W1 Avg", "R3 W2 Avg", "R4 W1 Avg", "R4 W2 Avg", "R5 W1 Avg", "R5 W2 Avg", "R6 W1 Avg", "R6 W2 Avg", "R7 W1 Avg", "R7 W2 Avg", "R8 W1 Avg", "R8 W2 Avg", "R9 W1 Avg", "R9 W2 Avg", "R10 W1 Avg", "R10 W2 Avg"
2.6010, 1749.7409, 6202.1300, 1649.6692, 3058.1086, 1677.4576, 3843.3123, 1796.5796, 6387.4657, 1762.1410, 4579.0952, 1750.4767, 6662.0050, 1691.7181, 4271.8809, 1725.0051, 4803.1255, 1614.3710, 1625.1784, 1612.9008, 1637.3643
3.6010, 1733.0199, 6200.8527, 1636.1894, 3055.8712, 1665.2743, 3844.4551, 1785.5103, 6392.7327, 1750.0978, 4579.5971, 1737.7120, 6653.5842, 1678.6660, 4271.8723, 1706.8433, 4802.7315, 1591.7984, 1623.3962, 1591.7088, 1636.0434
4.6010, 1733.7710, 6201.1215, 1634.8864, 3057.5051, 1665.1302, 3844.1100, 1785.0880, 6385.6160, 1749.8656, 4572.5989, 1737.1855, 6650.2578, 1676.1511, 4269.9394, 1706.1125, 4798.3578, 1591.9315, 1623.3498, 1592.0932, 1635.6087
5.6010, 1732.5999, 6198.5855, 1635.4141, 3056.7222, 1664.0796, 3832.9128, 1783.5481, 6383.9491, 1751.1487, 4571.6040, 1736.3153, 6649.1307, 1676.8904, 4271.5404, 1705.1872, 4792.3287, 1590.4788, 1624.0897, 1590.9381, 1635.0228
6.6010, 1732.9509, 6193.5847, 1635.4444, 3056.0581, 1664.6928, 3835.7649, 1785.1174, 6373.7401, 1750.2227, 4565.8117, 1737.5002, 6644.4189, 1677.0926, 4270.4979, 1706.3549, 4796.5972, 1591.9929, 1622.8286, 1591.3170, 1634.9111
7.6010, 1732.6075, 6196.4166, 1635.2247, 3051.9899, 1664.7611, 3830.0063, 1785.4703, 6374.7984, 1750.5623, 4557.0736, 1737.1685, 6644.8504, 1676.9830, 4261.3309, 1704.8004, 4787.0747, 1591.5514, 1623.4355, 1592.3540, 1635.1817
8.6010, 1731.3764, 6195.5428, 1635.8914, 3056.9646, 1665.5537, 3832.4298, 1784.5170, 6374.7687, 1749.4674, 4554.4158, 1736.0889, 6642.5197, 1674.8372, 4253.4319, 1704.6974, 4783.3578, 1591.2611, 1622.7581, 1591.5674, 1636.1989
9.6010, 1732.7384, 6191.3688, 1634.5101, 3057.4975, 1664.8736, 3832.9343, 1785.9095, 6369.0382, 1750.7223, 4543.6275, 1737.3523, 6637.4685, 1676.3213, 4249.7798, 1705.5631, 4783.1321, 1592.1220, 1622.9526, 1592.3604, 1636.0030
10.6010, 1731.4030, 6186.1080, 1635.2273, 3054.9571, 1664.2579, 3832.0215, 1784.4388, 6366.7224, 1750.3894, 4541.2315, 1736.9017, 6636.7861, 1676.7011, 4244.1234, 1705.3824, 4779.0479, 1591.9849, 1621.3347, 1592.0193, 1634.5223
11.6010, 1733.2849, 6187.6698, 1634.4773, 3053.7045, 1664.0910, 3827.7408, 1783.6015, 6361.5541, 1749.9077, 4534.7205, 1736.9550, 6634.9387, 1675.9734, 4242.2000, 1707.0087, 4777.1872, 1591.9365, 1621.8337, 1591.1972, 1635.2629
12.6010, 1732.0830, 6186.1414, 1632.6187, 3050.2323, 1665.3047, 3820.9772, 1784.9194, 6358.7175, 1750.3260, 4536.4744, 1736.5128, 6629.6710, 1675.3809, 4239.9383, 1705.5385, 4773.8672, 1591.8266, 1620.9083, 1591.5657, 1634.3101
