"File: DDELog(Excel:M13	1	1)::C:\Users\user\Desktop\clemens\20_07_22_DRG_AOP\M13_DRG_20_7\M13.LOG"
"Date: Wed Jul 20 2022 11:3:11.233"
0.0000, "Wavelength Names:	340	385	GFP	Wavelength 4	555"
"Time (sec)"
54.8040
114.1950
157.8030
0.0000, "Clock reset to 0.0"
"Region 1: [Location: (104, 68), Size: (74, 57), Area: 3256]"
"Region 2: [Location: (314, 125), Size: (33, 34), Area: 858]"
"Region 3: [Location: (252, 174), Size: (29, 33), Area: 737]"
"Region 4: [Location: (283, 230), Size: (42, 36), Area: 1164]"
"Region 5: [Location: (60, 156), Size: (30, 25), Area: 582]"
"Region 6: [Location: (38, 375), Size: (39, 41), Area: 1239]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R2 W1 Avg", "R2 W2 Avg", "R3 W1 Avg", "R3 W2 Avg", "R4 W1 Avg", "R4 W2 Avg", "R5 W1 Avg", "R5 W2 Avg", "R6 W1 Avg", "R6 W2 Avg"
1.6570, 1717.8805, 5050.7912, 1674.5396, 3559.3648, 1661.5034, 3016.1113, 1655.5662, 2829.9648, 1602.7131, 1621.4227, 1601.1001, 1617.9475
2.6570, 1706.0126, 5049.0393, 1663.8147, 3553.2762, 1652.1723, 3016.8548, 1645.5387, 2829.7612, 1586.3660, 1620.5825, 1587.5496, 1616.0533
4.1160, 1706.0372, 5048.5857, 1663.3776, 3556.8741, 1652.6526, 3015.2782, 1644.0997, 2829.4622, 1587.9107, 1620.1598, 1587.0767, 1615.5577
5.1160, 1705.4134, 5046.9312, 1661.1702, 3552.2261, 1652.2714, 3011.9417, 1645.9622, 2829.0017, 1587.9656, 1619.6615, 1588.8257, 1616.2058
6.1160, 1705.1244, 5047.6830, 1663.4767, 3554.2867, 1652.0312, 3015.6581, 1643.6143, 2826.0507, 1588.9210, 1620.5979, 1586.5004, 1616.6457
7.1160, 1706.1496, 5043.5040, 1664.6469, 3552.4487, 1651.0407, 3013.6228, 1644.5799, 2825.3110, 1588.7062, 1619.2595, 1587.0266, 1617.0065
8.1160, 1705.2850, 5041.7445, 1662.4674, 3549.7226, 1651.9145, 3016.4274, 1645.8797, 2823.7758, 1588.3213, 1619.7010, 1586.0073, 1615.8935
9.1160, 1706.0946, 5042.7718, 1662.8613, 3550.9476, 1651.6974, 3017.2049, 1645.1005, 2821.5438, 1587.5653, 1619.2921, 1586.9952, 1616.2082
10.1160, 1706.4103, 5037.2042, 1663.8124, 3553.5781, 1652.4396, 3012.8942, 1643.7655, 2824.1100, 1587.7938, 1620.6220, 1587.6441, 1616.7474
11.1160, 1704.7297, 5038.2359, 1663.6620, 3546.3858, 1650.9498, 3010.6309, 1645.4038, 2826.2483, 1587.0430, 1618.7784, 1585.8087, 1616.4415
12.1160, 1705.7515, 5036.2325, 1663.8963, 3550.4056, 1652.0651, 3007.9688, 1644.6761, 2823.7706, 1587.5533, 1621.4519, 1587.0444, 1616.1542
13.1160, 1705.0402, 5036.6450, 1663.6037, 3547.3613, 1649.8820, 3010.7015, 1645.7637, 2825.1684, 1589.0842, 1619.6237, 1587.5835, 1615.8370
14.1160, 1705.7534, 5032.5946, 1662.5326, 3538.9382, 1651.1031, 3010.1085, 1644.3943, 2823.9553, 1587.9210, 1620.2199, 1586.8257, 1616.5311
15.1160, 1706.7116, 5032.1766, 1661.3007, 3535.8590, 1651.2293, 3016.7585, 1645.8806, 2823.5876, 1586.5292, 1620.1907, 1587.0823, 1616.6384
33.8620, 1711.0310, 5003.6861, 1670.2436, 3514.4441, 1656.1642, 3000.7422, 1652.3213, 2819.5318, 1596.9519, 1619.6787, 1597.1348, 1616.4560
34.8620, 1704.4693, 5001.8698, 1662.3823, 3512.9312, 1650.9186, 2997.7910, 1645.6503, 2818.4725, 1587.1684, 1621.3282, 1587.3963, 1616.1881
35.8620, 1704.3646, 5001.2795, 1664.7191, 3517.4406, 1652.2212, 2995.9118, 1643.6770, 2813.7096, 1589.0292, 1618.7887, 1587.0097, 1616.1041
36.8620, 1703.9708, 4997.9251, 1661.6387, 3512.0478, 1651.7965, 2994.2890, 1643.8651, 2814.4089, 1587.6168, 1617.7749, 1586.5940, 1616.7030
37.8620, 1703.0909, 4996.2411, 1661.2261, 3511.1876, 1649.6119, 2993.4152, 1644.1194, 2812.6495, 1588.1254, 1619.5292, 1587.1235, 1616.7022
38.8620, 1705.2233, 4991.8940, 1663.3916, 3516.9534, 1650.6242, 2992.4776, 1645.9974, 2813.8952, 1588.6770, 1620.2749, 1586.8386, 1615.3398
39.8620, 1703.6787, 4994.4997, 1661.3706, 3507.3322, 1649.6282, 2993.4613, 1642.7431, 2811.0945, 1588.0928, 1619.0550, 1586.9338, 1615.2534
40.8620, 1704.1081, 4993.6440, 1663.0000, 3506.6329, 1652.1058, 2994.7965, 1643.9210, 2810.2672, 1587.1031, 1619.2457, 1586.5480, 1614.7732
41.8620, 1704.6459, 4985.6769, 1662.5583, 3503.8112, 1651.2537, 2999.8223, 1645.8694, 2811.1710, 1588.6718, 1618.9210, 1586.1203, 1615.3769
42.8620, 1703.9767, 4993.6284, 1661.7821, 3502.5396, 1648.7775, 2999.8847, 1644.9064, 2814.9278, 1588.3179, 1619.4674, 1586.5892, 1616.0129
43.8620, 1704.8716, 4988.7583, 1662.0233, 3503.8834, 1650.1452, 2994.7517, 1645.2732, 2809.7259, 1585.3540, 1618.9158, 1587.8321, 1615.2220
44.8620, 1705.0513, 4988.2973, 1662.1538, 3502.0804, 1651.4790, 2991.8440, 1644.6881, 2807.1813, 1588.1976, 1617.7629, 1587.7409, 1616.2373
45.8620, 1704.4432, 4987.2260, 1662.4371, 3502.6527, 1650.8412, 2992.1818, 1644.9132, 2810.2354, 1588.0189, 1619.0120, 1586.7595, 1615.8168
46.8620, 1704.5516, 4988.0362, 1662.4510, 3503.4627, 1650.5441, 2991.6350, 1644.4880, 2810.3282, 1586.6306, 1618.5859, 1587.3503, 1616.4124
47.8620, 1703.8176, 4990.5931, 1662.0012, 3503.0315, 1651.2524, 2999.0760, 1644.6357, 2812.3625, 1587.7096, 1619.0515, 1586.8410, 1615.9685
48.8620, 1704.3870, 4988.0384, 1662.9254, 3503.9907, 1650.0936, 2995.3908, 1643.4768, 2812.5584, 1587.7302, 1619.4691, 1588.1146, 1615.5408
49.8620, 1703.3492, 4989.2353, 1661.3007, 3505.1725, 1649.7001, 3006.1411, 1643.4536, 2815.1125, 1587.1546, 1619.8471, 1586.7232, 1616.8967
50.8620, 1704.8034, 4986.5660, 1662.9441, 3501.6620, 1651.0122, 2998.2497, 1644.1615, 2817.2603, 1586.7887, 1618.8746, 1587.5529, 1615.8951
51.8620, 1704.8738, 4983.6953, 1661.7366, 3501.1445, 1650.6269, 2997.0190, 1645.3419, 2812.5885, 1587.2680, 1618.6100, 1586.0662, 1615.4003
52.8620, 1703.7752, 4982.1106, 1662.1434, 3504.1270, 1649.7639, 2996.4573, 1643.5988, 2812.6942, 1586.1512, 1618.5893, 1586.7942, 1616.9871
53.8620, 1704.3600, 4981.8612, 1662.1527, 3503.6352, 1649.3202, 3001.7028, 1645.6813, 2813.5215, 1586.4003, 1618.7251, 1587.4512, 1617.0743
54.8620, 1704.6883, 4979.2601, 1663.7937, 3503.9033, 1651.6174, 2994.7910, 1645.0498, 2814.9089, 1586.3522, 1619.5911, 1586.4189, 1616.5924
55.8620, 1703.7245, 4979.2002, 1662.1119, 3500.2809, 1650.1710, 3005.3121, 1644.7096, 2815.9802, 1587.5825, 1619.0893, 1588.3236, 1616.2034
56.8620, 1703.8974, 4977.2537, 1663.0524, 3498.8462, 1652.5224, 3001.2592, 1645.1400, 2813.2182, 1587.7440, 1620.3058, 1587.3850, 1615.1001
57.8620, 1703.5795, 4977.1775, 1661.8869, 3498.8788, 1652.5875, 3003.6513, 1644.8754, 2815.4304, 1586.9330, 1621.2973, 1587.8943, 1615.8281
