"File: DDELog(Excel:M14	1	1)::C:\Users\user\Desktop\clemens\20_07_22_DRG_AOP\M14_DRG_20_7\M14.LOG"
"Date: Wed Jul 20 2022 11:32:39.130"
0.0000, "Wavelength Names:	340	385	GFP	Wavelength 4	555"
"Time (sec)"
49.9070
0.0000, "Clock reset to 0.0"
0.0000, "Clock reset to 0.0"
"Region 1: [Location: (230, 229), Size: (35, 37), Area: 991]"
"Region 2: [Location: (448, 268), Size: (29, 34), Area: 758]"
"Region 3: [Location: (196, 345), Size: (39, 36), Area: 1088]"
"Region 4: [Location: (40, 49), Size: (43, 50), Area: 1660]"
"Region 5: [Location: (51, 144), Size: (51, 91), Area: 3619]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R2 W1 Avg", "R2 W2 Avg", "R3 W1 Avg", "R3 W2 Avg", "R4 W1 Avg", "R4 W2 Avg", "R5 W1 Avg", "R5 W2 Avg"
1.3290, 1766.9374, 3638.1927, 1676.8707, 3678.9222, 1776.8061, 3470.1094, 1607.2717, 1615.5886, 1605.7356, 1624.4388
2.3290, 1756.4400, 3636.9526, 1665.5884, 3672.2296, 1764.8088, 3469.4678, 1588.0434, 1614.7795, 1589.1605, 1623.9878
3.3290, 1754.7598, 3631.5055, 1664.0646, 3670.1636, 1764.3116, 3461.3061, 1586.4735, 1614.1380, 1587.7961, 1622.1354
4.3290, 1755.5025, 3626.7952, 1664.3945, 3667.1042, 1764.3722, 3467.9936, 1586.8078, 1613.5614, 1589.0301, 1623.1199
5.3290, 1753.9576, 3617.6811, 1666.5356, 3670.6398, 1764.5248, 3462.9945, 1587.8422, 1613.3952, 1588.5399, 1622.6256
6.3290, 1754.3481, 3618.2866, 1663.8206, 3665.4393, 1764.0276, 3459.0726, 1587.0880, 1614.2952, 1588.4780, 1622.8334
7.3290, 1754.5227, 3607.8305, 1665.7348, 3661.6359, 1764.3153, 3473.7739, 1585.7542, 1613.5741, 1587.8806, 1622.7756
8.3290, 1752.7719, 3601.7467, 1665.1438, 3662.1544, 1762.2436, 3459.5358, 1586.9675, 1613.9566, 1587.9997, 1622.5026
9.3290, 1753.7528, 3599.9102, 1663.6979, 3659.5264, 1765.1618, 3456.0037, 1586.8181, 1613.2054, 1588.2349, 1622.3808
10.3290, 1753.8143, 3592.8315, 1666.4169, 3660.8470, 1762.9623, 3449.9513, 1586.2753, 1613.4645, 1588.1987, 1622.6170
11.3290, 1754.4420, 3588.5015, 1664.8483, 3652.6821, 1763.3217, 3437.0699, 1588.0807, 1613.9066, 1588.2481, 1622.9329
12.3290, 1753.1322, 3581.7185, 1662.9881, 3647.7678, 1761.9660, 3438.0882, 1586.2964, 1613.6608, 1588.5548, 1622.4825
13.3290, 1753.4107, 3580.2916, 1663.2797, 3640.3602, 1761.6057, 3448.4421, 1586.1187, 1613.3813, 1588.2492, 1622.2108
14.3290, 1753.4571, 3570.2513, 1665.3760, 3647.4499, 1763.6691, 3448.5616, 1586.4916, 1613.1777, 1588.0169, 1622.0133
15.3290, 1753.0636, 3567.2825, 1663.1517, 3642.6807, 1760.2730, 3445.7004, 1586.2584, 1612.8151, 1587.6228, 1622.5819
16.3290, 1753.2947, 3559.8870, 1664.4710, 3645.0251, 1760.6176, 3434.8925, 1586.8494, 1613.4554, 1588.6494, 1622.1517
17.3290, 1755.3875, 3554.9263, 1663.1438, 3645.8153, 1762.1498, 3427.9835, 1586.7620, 1613.1145, 1588.8207, 1622.6134
18.3290, 1754.8860, 3552.9828, 1663.2863, 3641.5976, 1761.9072, 3435.9237, 1586.5928, 1612.4319, 1587.5247, 1622.2097
19.3290, 1753.2462, 3545.4682, 1664.5897, 3638.2982, 1762.1195, 3433.2178, 1586.2729, 1613.6825, 1587.4242, 1621.8784
20.3290, 1753.0858, 3542.0525, 1664.6253, 3640.9314, 1760.4614, 3438.0110, 1586.1675, 1611.4512, 1587.8776, 1621.6762
21.3290, 1752.9203, 3534.1826, 1664.2256, 3633.1847, 1759.3042, 3435.8943, 1586.6855, 1613.6669, 1588.1125, 1621.9997
22.3290, 1755.5883, 3532.0555, 1662.9169, 3631.5237, 1759.8713, 3426.9954, 1587.8367, 1612.5108, 1588.7541, 1621.9204
23.3290, 1754.7447, 3521.4369, 1661.7678, 3623.5290, 1759.9256, 3430.9660, 1586.7078, 1612.4554, 1588.3225, 1621.1310
24.3290, 1755.0252, 3511.4178, 1663.7401, 3631.0053, 1760.3575, 3418.6985, 1586.4416, 1613.0705, 1588.1688, 1621.6223
25.3290, 1752.8809, 3509.0464, 1663.4538, 3627.8404, 1759.4458, 3416.5221, 1586.4000, 1614.0060, 1588.1290, 1621.8414
26.3290, 1751.5469, 3502.9879, 1665.1253, 3625.5858, 1760.8824, 3411.5175, 1587.0265, 1613.4247, 1588.0649, 1622.2725
27.3290, 1754.5933, 3500.0232, 1663.3865, 3619.8232, 1759.2996, 3409.5294, 1586.9349, 1612.8422, 1588.1721, 1621.4258
28.3290, 1753.4097, 3490.4077, 1663.6649, 3621.7269, 1760.2390, 3387.7123, 1586.2566, 1613.4241, 1587.1666, 1620.8842
29.3290, 1753.3835, 3484.4844, 1663.7309, 3616.9921, 1759.4752, 3391.9467, 1587.0675, 1613.4584, 1588.6444, 1622.3880
30.3290, 1755.0283, 3475.8527, 1663.2335, 3617.9908, 1760.8695, 3383.0487, 1585.4482, 1611.6175, 1587.4778, 1621.2445
31.3290, 1752.3683, 3473.5045, 1662.1557, 3614.1913, 1758.5754, 3380.0790, 1587.7633, 1612.8060, 1588.4673, 1621.9436
32.3290, 1756.0101, 3470.0797, 1663.4565, 3610.3694, 1758.0607, 3383.9770, 1586.8747, 1612.1458, 1588.2070, 1622.3515
33.3290, 1752.6327, 3462.0252, 1663.9235, 3612.6953, 1758.7031, 3378.4136, 1586.1922, 1613.5645, 1587.3744, 1621.7187
34.3290, 1753.9455, 3459.8527, 1662.2203, 3617.0739, 1756.5781, 3385.5386, 1585.9416, 1612.2096, 1587.4230, 1621.8395
35.3290, 1754.5257, 3457.0989, 1662.8773, 3610.6544, 1757.4770, 3376.9835, 1586.5747, 1612.6801, 1587.5344, 1621.6524
36.3290, 1755.9839, 3448.6105, 1662.2520, 3605.7190, 1758.9044, 3389.8741, 1586.8139, 1612.9669, 1588.5046, 1621.6651
37.3290, 1753.5217, 3443.0222, 1663.8470, 3603.3562, 1757.1489, 3374.6857, 1586.1801, 1612.9657, 1587.7466, 1621.3283
38.3290, 1753.9717, 3439.0676, 1663.5383, 3601.5831, 1757.9954, 3359.5028, 1586.2620, 1613.8018, 1587.5140, 1621.3860
39.3290, 1754.7962, 3433.4662, 1662.6873, 3600.6530, 1758.6544, 3361.8805, 1585.9307, 1611.6181, 1588.2175, 1621.1216
40.3290, 1755.3179, 3427.4117, 1663.7150, 3594.6425, 1756.8814, 3378.7197, 1586.2596, 1611.6386, 1587.5582, 1620.3625
41.3290, 1754.3380, 3428.1978, 1661.2533, 3598.3628, 1756.2665, 3375.4522, 1585.3813, 1612.8102, 1587.7939, 1621.1194
42.3290, 1753.3320, 3421.7881, 1661.8074, 3599.5343, 1757.0083, 3369.1324, 1586.8223, 1612.8663, 1588.4673, 1621.9251
43.3290, 1752.8739, 3419.7841, 1662.4617, 3593.3931, 1757.1746, 3369.3759, 1585.3675, 1611.8223, 1587.7502, 1621.1824
44.3290, 1754.3693, 3417.6367, 1662.6306, 3594.4288, 1758.6645, 3372.0928, 1586.3398, 1612.8482, 1587.0210, 1621.5466
45.3290, 1753.7366, 3411.7235, 1663.5013, 3589.0660, 1756.4182, 3363.3529, 1585.5018, 1612.1723, 1587.8936, 1620.4142
46.3290, 1754.7376, 3411.2664, 1661.7388, 3588.3918, 1756.0910, 3357.8171, 1586.1958, 1611.7699, 1588.0904, 1620.5891
47.3290, 1752.8991, 3406.1736, 1661.7137, 3586.2322, 1755.1921, 3366.3263, 1586.4825, 1611.9976, 1587.8057, 1620.1025
48.3290, 1754.4379, 3403.4258, 1660.8760, 3578.6847, 1757.0726, 3342.4265, 1585.8120, 1611.7693, 1587.6817, 1620.6855
49.3290, 1754.8002, 3401.1645, 1661.5185, 3572.1385, 1756.3428, 3344.0680, 1585.8928, 1612.4024, 1586.8837, 1620.4424
50.3290, 1753.3895, 3395.1150, 1661.1689, 3571.1847, 1755.3612, 3345.6259, 1585.8169, 1611.4970, 1586.6576, 1621.0135
51.3290, 1753.3098, 3392.7053, 1661.3892, 3561.3602, 1754.3263, 3347.6029, 1586.2331, 1611.8536, 1587.3545, 1620.7499
52.3290, 1752.8870, 3389.7901, 1663.8113, 3559.1214, 1755.6875, 3350.0607, 1587.4928, 1612.3410, 1588.1235, 1621.3611
53.3290, 1753.1988, 3382.1241, 1663.9908, 3558.7230, 1755.9329, 3360.5809, 1587.1199, 1611.9066, 1588.1384, 1621.2081
54.3290, 1754.3582, 3382.2977, 1663.4868, 3567.6992, 1756.7684, 3353.0358, 1585.6807, 1612.3343, 1587.8326, 1621.3390
55.3290, 1752.5479, 3373.5066, 1662.3668, 3570.2480, 1754.3483, 3355.5597, 1585.7548, 1611.2837, 1587.4090, 1620.5490
56.3290, 1754.6408, 3375.4299, 1661.4090, 3567.6398, 1754.0735, 3360.1480, 1586.6205, 1611.7440, 1588.2445, 1620.7463
57.3290, 1755.9526, 3372.4924, 1660.9327, 3566.3615, 1754.4265, 3362.7868, 1586.3283, 1612.3133, 1587.4474, 1620.9442
58.3290, 1753.9354, 3369.1685, 1662.2150, 3568.8509, 1754.3428, 3358.2142, 1586.4464, 1612.3139, 1588.0061, 1620.7988
59.3290, 1753.0161, 3365.5520, 1662.4380, 3571.5224, 1753.4118, 3349.5570, 1585.4590, 1612.0789, 1587.0334, 1619.5330
60.3290, 1754.5399, 3365.2886, 1661.7823, 3568.0765, 1753.5138, 3346.8438, 1586.8922, 1611.3470, 1587.9765, 1619.9005
61.3290, 1753.0656, 3351.3169, 1661.5132, 3559.3298, 1750.7629, 3335.0110, 1586.8283, 1612.3241, 1587.0727, 1620.5242
62.3290, 1753.7205, 3351.8860, 1661.0699, 3546.2032, 1750.4991, 3315.5018, 1585.6440, 1611.6548, 1587.6919, 1620.8671
63.3290, 1754.0131, 3349.2089, 1662.9301, 3546.4208, 1749.2693, 3320.0634, 1586.2386, 1611.6512, 1586.9494, 1620.6314
64.3290, 1754.1715, 3341.6680, 1660.9274, 3538.7361, 1747.1526, 3325.1342, 1584.9578, 1611.7777, 1587.6941, 1621.1119
65.3290, 1752.2462, 3346.9778, 1661.0079, 3538.5053, 1750.3171, 3329.1498, 1585.1494, 1612.4428, 1586.1931, 1620.9721
66.3290, 1753.4622, 3335.9384, 1661.2639, 3536.4222, 1749.3125, 3307.3566, 1585.5114, 1612.0410, 1587.5949, 1621.1091
67.3290, 1753.0494, 3334.1362, 1661.5396, 3533.3285, 1750.3061, 3297.2160, 1585.8729, 1612.2934, 1586.6764, 1620.1857
68.3290, 1751.9405, 3331.8315, 1661.1398, 3538.8061, 1748.0478, 3297.3465, 1585.9145, 1612.6440, 1588.7002, 1620.6698
69.3290, 1753.8355, 3325.3370, 1658.9472, 3535.4195, 1747.5726, 3276.3364, 1587.1205, 1613.2193, 1587.5065, 1620.8801
70.3290, 1754.1130, 3326.0202, 1659.5686, 3528.3034, 1748.2647, 3281.4063, 1585.6283, 1612.9301, 1587.4758, 1620.5714
71.3290, 1752.5954, 3321.8567, 1660.1161, 3528.1425, 1748.2472, 3279.5974, 1585.4855, 1612.6596, 1587.7170, 1620.8414
72.3290, 1752.5984, 3316.3380, 1661.6504, 3533.7836, 1746.2987, 3282.8640, 1586.7355, 1612.1295, 1587.5819, 1620.1611
73.3290, 1754.0212, 3313.4642, 1660.6029, 3525.0686, 1744.7114, 3292.8015, 1585.4801, 1611.9229, 1586.5551, 1620.1539
74.3290, 1753.4723, 3311.2533, 1660.4657, 3526.2256, 1746.9274, 3287.6103, 1586.2783, 1611.1380, 1586.8049, 1620.1572
75.3290, 1754.5600, 3306.9980, 1659.4380, 3519.4380, 1746.9669, 3281.4366, 1586.3217, 1612.6102, 1588.3004, 1620.6383
76.3290, 1753.1271, 3310.1715, 1659.0752, 3519.1029, 1745.5542, 3280.6636, 1585.9373, 1612.9873, 1587.1708, 1620.8198
77.3290, 1752.4268, 3309.0898, 1659.9987, 3514.8443, 1744.8640, 3279.1930, 1586.3855, 1612.3217, 1586.7433, 1621.1448
78.3290, 1753.7841, 3297.8587, 1660.8575, 3515.7784, 1743.6351, 3289.2776, 1586.3687, 1612.6343, 1587.7477, 1620.6706
79.3290, 1752.9960, 3303.2997, 1661.0910, 3512.6596, 1744.4476, 3273.4825, 1586.6325, 1612.6867, 1586.9970, 1620.7709
80.3290, 1752.7386, 3295.0969, 1660.7296, 3512.7111, 1743.9678, 3273.9439, 1585.4663, 1612.9048, 1587.6422, 1620.3813
81.3290, 1754.3269, 3293.9142, 1660.1517, 3509.1675, 1743.8741, 3264.2022, 1585.5241, 1612.5367, 1586.8983, 1620.9619
82.3290, 1754.2220, 3293.0817, 1661.8905, 3509.3509, 1745.0579, 3246.4357, 1585.6500, 1611.8012, 1587.0951, 1620.3031
83.3290, 1754.7346, 3292.1554, 1660.3734, 3514.3641, 1743.2518, 3237.9311, 1586.5807, 1612.6295, 1587.3996, 1620.8980
84.3290, 1753.3269, 3283.1968, 1660.7493, 3507.7757, 1744.7013, 3244.1425, 1586.3012, 1612.9163, 1587.8566, 1620.2835
85.3290, 1752.3320, 3279.6509, 1660.8430, 3508.3285, 1743.4412, 3245.0478, 1585.7506, 1612.1982, 1588.0044, 1619.5618
86.3290, 1753.6317, 3276.8527, 1660.9142, 3510.8628, 1744.0551, 3228.4954, 1585.5898, 1612.0669, 1587.7085, 1620.3476
87.3290, 1753.2603, 3270.6468, 1661.3734, 3505.1887, 1742.1847, 3229.3189, 1585.2361, 1611.4910, 1587.1730, 1620.2338
88.3290, 1752.7154, 3267.2583, 1661.0462, 3500.2784, 1743.1222, 3222.5772, 1585.7145, 1611.6145, 1587.6217, 1620.1998
89.3290, 1754.9405, 3265.4208, 1660.7968, 3501.8720, 1743.8631, 3218.2941, 1586.7030, 1612.1693, 1587.5115, 1619.9500
