"File: DDELog(Excel:M15	1	1)::C:\Users\user\Desktop\clemens\20_07_22_DRG_AOP\M15_DRG_20_7\M15.LOG"
"Date: Wed Jul 20 2022 14:7:35.527"
0.0000, "Wavelength Names:	340	385	GFP	Wavelength 4	555"
"Time (sec)"
47.1990
0.0000, "Clock reset to 0.0"
"Region 1: [Location: (440, 68), Size: (45, 51), Area: 1775]"
"Region 2: [Location: (386, 133), Size: (29, 30), Area: 678]"
"Region 3: [Location: (410, 0), Size: (31, 22), Area: 530]"
"Region 4: [Location: (356, 171), Size: (22, 28), Area: 476]"
"Region 5: [Location: (230, 252), Size: (36, 34), Area: 940]"
"Region 6: [Location: (258, 428), Size: (32, 37), Area: 908]"
"Region 7: [Location: (96, 227), Size: (26, 29), Area: 586]"
"Region 8: [Location: (66, 246), Size: (33, 37), Area: 933]"
"Region 9: [Location: (4, 307), Size: (27, 29), Area: 607]"
"Region 10: [Location: (100, 288), Size: (21, 21), Area: 305]"
"Region 11: [Location: (167, 317), Size: (80, 64), Area: 3950]"
"Region 12: [Location: (80, 56), Size: (33, 37), Area: 933]"
"Region 13: [Location: (200, 109), Size: (43, 56), Area: 1862]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R2 W1 Avg", "R2 W2 Avg", "R3 W1 Avg", "R3 W2 Avg", "R4 W1 Avg", "R4 W2 Avg", "R5 W1 Avg", "R5 W2 Avg", "R6 W1 Avg", "R6 W2 Avg", "R7 W1 Avg", "R7 W2 Avg", "R8 W1 Avg", "R8 W2 Avg", "R9 W1 Avg", "R9 W2 Avg", "R10 W1 Avg", "R10 W2 Avg", "R11 W1 Avg", "R11 W2 Avg", "R12 W1 Avg", "R12 W2 Avg", "R13 W1 Avg", "R13 W2 Avg"
22.7280, 1689.3008, 4298.6518, 1731.8776, 5886.5413, 1694.9849, 3034.8811, 1673.9118, 2761.0798, 1692.7351, 4904.9234, 1706.0132, 5209.3733, 1653.9642, 2757.1587, 1648.1908, 2927.4855, 1683.5717, 4207.3674, 1666.9016, 3165.2328, 1674.0099, 3913.6010, 1611.3687, 1628.4523, 1610.0193, 1644.5317
23.7280, 1671.8068, 4297.4935, 1719.6755, 5889.7094, 1675.5434, 2898.2170, 1656.0273, 2757.1723, 1682.4936, 4900.9638, 1691.4769, 5199.5727, 1639.3549, 2756.4215, 1635.2337, 2924.8928, 1670.7265, 4209.9720, 1656.2426, 3172.2393, 1662.2732, 3913.8699, 1588.3655, 1627.2690, 1589.5532, 1643.2401
24.7280, 1672.0879, 4293.7972, 1719.5015, 5884.6681, 1672.1698, 2950.0887, 1656.8571, 2751.7941, 1680.6787, 4893.8149, 1689.6233, 5198.2698, 1639.5904, 2751.4727, 1635.4973, 2920.6913, 1670.4761, 4206.2208, 1653.5967, 3158.6721, 1662.4651, 3911.7547, 1587.6324, 1626.5938, 1588.8394, 1642.5967
25.7280, 1671.2563, 4289.4141, 1717.0413, 5888.8392, 1673.0528, 2978.5981, 1656.5861, 2754.2605, 1681.4670, 4891.9394, 1691.0683, 5197.8722, 1645.0904, 2420.7816, 1635.2808, 2915.5273, 1671.3377, 4203.3064, 1656.4623, 3147.2033, 1663.1058, 3910.5851, 1588.8446, 1626.2272, 1587.3201, 1643.2444
26.7280, 1670.4772, 4288.1707, 1717.2050, 5881.8776, 1671.8057, 2987.5585, 1655.3550, 2752.6597, 1680.8660, 4889.6191, 1691.7588, 5198.0319, 1648.1451, 2281.7423, 1635.2240, 2912.8328, 1671.5025, 4192.9374, 1655.6984, 3153.7279, 1662.9491, 3909.4334, 1588.1854, 1625.8885, 1587.9511, 1642.4791
27.7280, 1671.9008, 4287.9577, 1719.1445, 5878.8805, 1671.7604, 3001.3321, 1658.2248, 2750.5399, 1681.9351, 4887.9202, 1691.8205, 5194.2313, 1645.7782, 2313.2457, 1635.7385, 2912.9153, 1669.7117, 4199.2735, 1654.4098, 3150.0328, 1662.3210, 3912.1246, 1587.7567, 1625.9614, 1588.7282, 1642.8996
28.7280, 1672.4034, 4288.9273, 1718.2906, 5875.1150, 1673.3774, 3008.3566, 1657.3340, 2752.5651, 1680.4894, 4882.7543, 1690.4152, 5188.1817, 1647.2372, 2325.9386, 1635.1061, 2911.2144, 1669.7842, 4190.9440, 1653.9377, 3140.2492, 1662.9514, 3911.0572, 1587.9185, 1626.5059, 1588.4205, 1642.4173
29.7280, 1671.4451, 4286.7386, 1716.7021, 5884.6327, 1670.9623, 3012.2396, 1655.6891, 2752.0609, 1681.6436, 4880.1128, 1691.1443, 5190.0760, 1646.3003, 2337.3208, 1635.3612, 2910.1458, 1669.3427, 4197.1087, 1654.6951, 3150.3082, 1662.7544, 3909.5423, 1587.0740, 1626.4737, 1588.8722, 1642.3781
30.7280, 1670.0141, 4284.6445, 1718.0000, 5877.9631, 1671.2302, 3016.3358, 1656.7395, 2754.5567, 1680.7628, 4887.5468, 1690.8601, 5189.4229, 1644.8140, 2402.8140, 1634.3516, 2909.9411, 1670.4283, 4199.3361, 1656.5016, 3150.4918, 1661.8881, 3908.3096, 1587.5906, 1625.6431, 1588.9474, 1641.8469
31.7280, 1671.1465, 4281.8535, 1715.6593, 5879.2743, 1671.7245, 3015.9925, 1655.8151, 2743.7647, 1682.2383, 4879.7117, 1690.0121, 5190.4394, 1642.3174, 2462.1109, 1634.4084, 2908.2390, 1669.9094, 4195.7512, 1655.2066, 3151.0393, 1661.6499, 3907.4473, 1588.6088, 1625.8574, 1588.2589, 1642.2352
32.7280, 1672.1961, 4285.0676, 1715.9779, 5880.3038, 1672.6132, 3020.0962, 1655.5861, 2742.4349, 1679.8936, 4874.8862, 1689.9394, 5195.9923, 1642.1314, 2515.2270, 1632.9550, 2915.1940, 1671.7414, 4195.0659, 1654.5180, 3152.0230, 1663.9116, 3909.6962, 1587.8264, 1625.9861, 1588.1439, 1642.7793
33.7280, 1670.7854, 4276.6676, 1717.1254, 5874.9115, 1671.3755, 3025.7943, 1655.6597, 2743.6807, 1680.4404, 4880.8798, 1692.0077, 5199.3535, 1644.1075, 2465.4300, 1635.0193, 2912.3215, 1671.1104, 4192.7974, 1657.4754, 3150.5148, 1663.2220, 3907.3620, 1587.9904, 1627.0375, 1588.1085, 1641.8131
34.7280, 1670.2006, 4280.9606, 1716.1563, 5878.5265, 1672.4019, 3025.3604, 1657.3025, 2742.4454, 1680.3181, 4876.7681, 1692.8029, 5194.8943, 1642.2730, 2518.0939, 1634.9325, 2913.7106, 1671.1038, 4196.3987, 1655.4885, 3149.4000, 1662.4476, 3904.4200, 1588.1822, 1625.6559, 1588.4168, 1642.4694
35.7280, 1671.3949, 4277.7966, 1717.1313, 5875.4233, 1673.4755, 3032.5434, 1656.4580, 2737.2416, 1681.4926, 4880.1223, 1692.7588, 5193.4692, 1642.3072, 2551.4300, 1635.4277, 2914.1704, 1669.6013, 4193.8089, 1655.7082, 3162.5344, 1661.4438, 3908.0000, 1589.0032, 1626.3312, 1588.2460, 1640.7712
36.7280, 1671.4163, 4275.0366, 1714.6947, 5864.7965, 1672.2472, 3024.5189, 1655.9958, 2740.5126, 1681.2138, 4871.4617, 1691.5969, 5194.7390, 1643.1980, 2494.2014, 1634.5338, 2913.5241, 1670.1417, 4196.1532, 1656.1082, 3161.8000, 1662.1028, 3907.8484, 1588.1479, 1626.2390, 1587.9318, 1639.9366
37.7280, 1672.3132, 4276.3132, 1717.7316, 5864.8245, 1674.0245, 3032.0887, 1656.0630, 2739.3550, 1681.3766, 4873.4521, 1691.9185, 5197.7302, 1642.8823, 2537.8464, 1634.4609, 2911.7471, 1670.6161, 4194.2669, 1654.8951, 3156.3738, 1661.3322, 3903.7575, 1588.1972, 1626.7878, 1588.6805, 1641.3233
38.7280, 1671.5780, 4270.8913, 1716.4292, 5876.1667, 1672.9453, 3027.5453, 1657.2731, 2737.8634, 1681.5234, 4874.1809, 1692.8007, 5192.5892, 1640.2406, 2570.2150, 1634.1661, 2908.1018, 1670.1664, 4193.3015, 1656.5016, 3145.1934, 1662.7124, 3904.3992, 1588.9293, 1626.0107, 1588.7487, 1641.2143
39.7280, 1671.5611, 4264.8445, 1716.2596, 5870.2699, 1671.5811, 3020.5585, 1657.2731, 2732.9181, 1680.5202, 4865.8287, 1692.1960, 5194.9857, 1641.1894, 2595.4027, 1635.0482, 2904.7235, 1669.9292, 4189.4728, 1655.7475, 3144.9607, 1662.8468, 3906.0109, 1590.4620, 1627.4748, 1588.1568, 1642.1896
40.7280, 1670.2079, 4244.2220, 1714.8569, 5869.2788, 1670.3660, 3014.4057, 1654.8866, 2725.4664, 1681.1809, 4860.9660, 1690.0694, 5196.5286, 1640.5887, 2607.4863, 1634.9368, 2903.9475, 1671.2175, 4189.2867, 1655.7902, 3139.0820, 1663.1028, 3902.5841, 1587.8392, 1626.4330, 1587.8765, 1640.5285
