"File: DDELog(Excel:M16	1	1)::C:\Users\user\Desktop\clemens\20_07_22_DRG_AOP\M16_DRG_20_7\M16.LOG"
"Date: Wed Jul 20 2022 14:26:16.938"
0.0000, "Wavelength Names:	340	385	GFP	Wavelength 4	555"
"Time (sec)"
36.6980
83.7060
0.0000, "Clock reset to 0.0"
"Region 1: [Location: (322, 168), Size: (34, 28), Area: 732]"
"Region 2: [Location: (396, 250), Size: (40, 42), Area: 1300]"
"Region 3: [Location: (452, 415), Size: (21, 21), Area: 305]"
"Region 4: [Location: (399, 416), Size: (32, 33), Area: 812]"
"Region 5: [Location: (351, 252), Size: (21, 21), Area: 305]"
"Region 6: [Location: (321, 257), Size: (25, 47), Area: 913]"
"Region 7: [Location: (293, 359), Size: (21, 21), Area: 305]"
"Region 8: [Location: (275, 356), Size: (21, 22), Area: 358]"
"Region 9: [Location: (268, 342), Size: (21, 21), Area: 305]"
"Region 10: [Location: (170, 182), Size: (37, 33), Area: 933]"
"Region 11: [Location: (1, 41), Size: (21, 21), Area: 305]"
"Region 12: [Location: (73, 121), Size: (27, 28), Area: 584]"
"Region 13: [Location: (24, 250), Size: (29, 31), Area: 695]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R2 W1 Avg", "R2 W2 Avg", "R3 W1 Avg", "R3 W2 Avg", "R4 W1 Avg", "R4 W2 Avg", "R5 W1 Avg", "R5 W2 Avg", "R6 W1 Avg", "R6 W2 Avg", "R7 W1 Avg", "R7 W2 Avg", "R8 W1 Avg", "R8 W2 Avg", "R9 W1 Avg", "R9 W2 Avg", "R10 W1 Avg", "R10 W2 Avg", "R11 W1 Avg", "R11 W2 Avg", "R12 W1 Avg", "R12 W2 Avg", "R13 W1 Avg", "R13 W2 Avg"
5.0090, 1688.5929, 3245.2609, 1670.9931, 3146.5046, 1659.8098, 2476.4656, 1659.5961, 2987.4717, 1657.0033, 2878.1246, 1642.3516, 2491.3078, 1663.1148, 3080.1902, 1666.3156, 3084.8017, 1667.8361, 2809.4197, 1653.9303, 2630.0986, 1684.6590, 3416.9016, 1619.6541, 1624.9897, 1617.5108, 1611.0806
6.0090, 1669.3183, 3243.6093, 1651.8108, 3134.2838, 1638.3279, 2472.6393, 1640.2931, 2982.4200, 1637.7049, 2865.6361, 1624.5717, 2492.1457, 1644.6656, 3087.2361, 1647.4497, 3087.0084, 1649.9705, 2813.3246, 1634.6345, 2622.1115, 1659.0066, 3422.5410, 1596.2894, 1624.1387, 1593.3065, 1608.0806
7.0090, 1668.5109, 3247.3852, 1649.9131, 3135.5823, 1637.3705, 2474.2557, 1640.9298, 2983.2438, 1636.8164, 2868.0951, 1623.1818, 2490.8357, 1642.9475, 3086.6033, 1645.4860, 3084.8045, 1646.9213, 2810.5049, 1635.7889, 2623.8896, 1659.8590, 3415.8885, 1596.7740, 1624.4555, 1592.6245, 1608.8259
8.0090, 1669.9071, 3254.6011, 1652.2538, 3132.2238, 1635.4623, 2481.3410, 1640.7759, 2985.1022, 1639.3541, 2874.0066, 1625.1577, 2491.2957, 1644.7803, 3086.2164, 1647.9218, 3083.7654, 1648.2098, 2809.8131, 1635.3398, 2624.4684, 1658.1607, 3424.5311, 1596.6986, 1623.9709, 1594.0676, 1608.1540
9.0090, 1669.7923, 3253.7568, 1652.0262, 3128.5015, 1638.7541, 2479.6164, 1642.1798, 2983.9667, 1640.5148, 2868.7246, 1624.3078, 2491.7536, 1643.4295, 3081.4230, 1647.7151, 3085.3073, 1647.8852, 2814.9049, 1634.7942, 2619.6184, 1657.6361, 3422.8230, 1596.3048, 1623.5445, 1594.6201, 1608.8000
10.0090, 1668.3470, 3251.6735, 1651.3615, 3127.6131, 1636.1148, 2475.4885, 1640.1034, 2985.9704, 1638.5082, 2867.3836, 1622.7360, 2490.3143, 1643.1541, 3081.5115, 1645.1480, 3089.2374, 1647.4000, 2817.1836, 1634.7856, 2620.5927, 1656.9213, 3423.1016, 1596.2551, 1621.2808, 1593.2173, 1607.9554
11.0090, 1667.7609, 3251.8538, 1651.8546, 3133.2646, 1636.3115, 2474.9770, 1638.8658, 2984.1958, 1640.9279, 2862.4754, 1623.6232, 2491.2683, 1644.7705, 3078.6590, 1647.5503, 3085.1592, 1648.2590, 2818.9902, 1634.0161, 2623.9389, 1659.6361, 3423.9508, 1596.8134, 1623.1644, 1592.9914, 1609.0950
12.0090, 1667.9194, 3254.5792, 1651.7677, 3135.1692, 1635.7934, 2479.3967, 1639.6244, 2982.6552, 1640.9541, 2861.7443, 1623.9496, 2488.7558, 1645.9902, 3084.2459, 1647.4777, 3084.0922, 1648.4623, 2816.9705, 1634.1951, 2617.4952, 1657.2328, 3415.2066, 1595.0514, 1623.0925, 1595.0230, 1607.5468
13.0090, 1671.2158, 3247.5779, 1650.6192, 3137.6515, 1635.7246, 2477.9672, 1640.9717, 2985.2857, 1639.3672, 2856.8984, 1623.6714, 2491.1961, 1642.5115, 3080.0295, 1646.5894, 3084.2765, 1646.4492, 2807.8525, 1633.4684, 2616.6495, 1656.8787, 3423.7934, 1596.6695, 1622.2432, 1593.0590, 1606.9165
14.0090, 1668.9809, 3248.0219, 1652.6100, 3143.0977, 1636.2230, 2475.3344, 1641.5677, 2987.8904, 1640.2459, 2860.3410, 1623.2530, 2491.8532, 1645.5180, 3078.4656, 1647.4665, 3085.6983, 1648.2852, 2814.4328, 1633.9207, 2616.4341, 1658.7475, 3426.0951, 1597.4589, 1622.8322, 1593.3353, 1609.7252
