"File: DDELog(Excel:M3_19_7	1	1)::C:\Users\user\Desktop\clemens\19_07_22_ DRG_AOP\M3_DRG_19_7\S+TM3.LOG"
"Date: Tue Jul 19 2022 11:44:43.829"
0.0000, "Wavelength Names:	340	385	GFP	Wavelength 4	555"
"Time (sec)"
136.0420
187.5460
0.0000, "Clock reset to 0.0"
"Region 1: [Location: (101, 182), Size: (36, 39), Area: 1088]"
"Region 2: [Location: (358, 238), Size: (53, 37), Area: 1501]"
"Region 3: [Location: (302, 415), Size: (33, 38), Area: 966]"
"Region 4: [Location: (160, 416), Size: (46, 46), Area: 1642]"
"Region 5: [Location: (261, 60), Size: (42, 48), Area: 1540]"
"Region 6: [Location: (245, 219), Size: (40, 43), Area: 1334]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R2 W1 Avg", "R2 W2 Avg", "R3 W1 Avg", "R3 W2 Avg", "R4 W1 Avg", "R4 W2 Avg", "R5 W1 Avg", "R5 W2 Avg", "R6 W1 Avg", "R6 W2 Avg"
5.3840, 1784.6654, 5838.0846, 1796.5217, 6782.9047, 1832.4151, 7967.1408, 1824.6072, 3926.0463, 1638.3117, 1657.3006, 1630.2631, 1660.5352
6.3840, 1768.6930, 5839.2518, 1779.5803, 6776.7488, 1816.8975, 7974.5849, 1803.1382, 3926.2844, 1610.5955, 1654.7929, 1608.9355, 1658.4963
7.3840, 1767.3704, 5840.0303, 1777.9007, 6777.2998, 1815.2164, 7973.8043, 1803.7363, 3930.0999, 1608.6247, 1655.7383, 1609.0772, 1658.1192
8.3840, 1766.8300, 5828.7601, 1778.6269, 6759.7328, 1814.4814, 7964.7671, 1803.1608, 3918.3368, 1609.0188, 1654.3000, 1606.7219, 1658.6244
9.3840, 1768.3428, 5830.9347, 1780.3478, 6748.0466, 1813.0663, 7961.2474, 1802.7192, 3916.8715, 1609.6104, 1654.6292, 1607.5045, 1659.1267
10.3840, 1768.2987, 5828.8759, 1777.4324, 6735.6795, 1814.6284, 7959.4731, 1803.6127, 3924.9848, 1608.2149, 1654.7578, 1606.3561, 1659.0772
11.3840, 1767.1553, 5831.9789, 1777.7575, 6726.4857, 1814.9410, 7952.7557, 1803.4683, 3916.7948, 1609.2909, 1654.2773, 1606.2429, 1658.7759
12.3840, 1766.4853, 5828.1783, 1777.5243, 6716.4031, 1814.3292, 7948.3199, 1802.3575, 3907.3551, 1608.4052, 1653.2974, 1606.2601, 1657.2684
13.3840, 1768.1903, 5823.9237, 1777.2625, 6705.9114, 1815.5787, 7941.0466, 1803.3879, 3905.1169, 1608.0383, 1654.0435, 1606.3658, 1657.2721
14.3840, 1767.5561, 5825.6480, 1777.7295, 6693.7202, 1815.0569, 7936.3012, 1805.3496, 3885.8739, 1607.7422, 1653.3013, 1607.3291, 1656.8808
