"File: DDELog(Excel:M6_DRG	1	1)::C:\Users\user\Desktop\clemens\19_07_22_ DRG_AOP\M6_DRG_19_7\M6.LOG"
"Date: Tue Jul 19 2022 14:28:39.328"
0.0000, "Wavelength Names:	340	385	GFP	Wavelength 4	555"
"Time (sec)"
57.3710
96.5950
0.0000, "Clock reset to 0.0"
"Region 1: [Location: (288, 70), Size: (33, 40), Area: 1022]"
"Region 2: [Location: (279, 242), Size: (27, 37), Area: 763]"
"Region 3: [Location: (288, 392), Size: (35, 38), Area: 1026]"
"Region 4: [Location: (448, 472), Size: (21, 21), Area: 305]"
"Region 5: [Location: (151, 104), Size: (42, 31), Area: 1002]"
"Region 6: [Location: (95, 183), Size: (52, 45), Area: 1816]"
"Region 7: [Location: (104, 286), Size: (69, 59), Area: 3137]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R2 W1 Avg", "R2 W2 Avg", "R3 W1 Avg", "R3 W2 Avg", "R4 W1 Avg", "R4 W2 Avg", "R5 W1 Avg", "R5 W2 Avg", "R6 W1 Avg", "R6 W2 Avg", "R7 W1 Avg", "R7 W2 Avg"
6.0560, 1734.2476, 3990.2485, 1846.1206, 3816.6553, 1722.1930, 5218.9854, 1624.8328, 2358.6656, 1677.1297, 3400.1118, 1615.8541, 1629.0319, 1613.5116, 1626.5964
7.0560, 1714.0509, 3985.1125, 1832.5190, 3845.1953, 1706.8713, 5215.0312, 1612.7639, 2355.0295, 1656.8214, 3394.8663, 1595.4058, 1627.3166, 1593.8234, 1626.6095
8.0560, 1714.7857, 3993.8092, 1829.8729, 3833.8755, 1707.5663, 5206.7680, 1612.5115, 2358.4295, 1656.5649, 3396.6517, 1596.0743, 1627.6575, 1594.8237, 1625.8326
9.0560, 1713.0656, 3999.6272, 1831.8519, 3857.7851, 1706.7554, 5208.5663, 1611.1902, 2356.3148, 1655.8084, 3400.7814, 1596.1916, 1627.7109, 1592.5620, 1625.7498
10.0560, 1712.6145, 3997.5881, 1831.3630, 3884.2503, 1707.8450, 5204.4912, 1609.9836, 2354.9148, 1656.5000, 3400.0749, 1595.3976, 1628.7280, 1594.4715, 1625.6825
11.0560, 1713.3023, 4006.1947, 1829.1586, 3907.4246, 1707.6384, 5203.7339, 1610.4098, 2353.0754, 1656.7894, 3398.6437, 1595.2880, 1627.1344, 1593.9232, 1624.6414
12.0560, 1713.5499, 4005.1282, 1830.0577, 3927.1704, 1705.3333, 5201.7183, 1611.1803, 2356.0328, 1657.3643, 3404.1467, 1596.1878, 1629.3260, 1593.8891, 1626.2002
13.0560, 1714.1272, 4009.4472, 1828.0105, 3958.8834, 1705.4259, 5202.9133, 1608.8230, 2353.4295, 1655.2735, 3396.7415, 1595.0622, 1628.4884, 1593.6873, 1625.5668
14.0560, 1715.0215, 4012.5372, 1827.4744, 3978.5452, 1704.7661, 5202.6598, 1610.4066, 2354.1508, 1657.7615, 3397.4122, 1597.0964, 1628.6399, 1593.4415, 1626.1578
15.0560, 1712.5294, 4015.4051, 1828.5845, 3917.7720, 1706.1218, 5205.9581, 1610.0328, 2359.0066, 1656.6208, 3400.4940, 1596.8365, 1628.0776, 1593.9949, 1625.5336
16.0560, 1713.2632, 4016.6487, 1829.9987, 3860.2477, 1707.7222, 5203.7788, 1610.5475, 2354.2885, 1657.1916, 3402.3333, 1596.3265, 1628.8282, 1593.8342, 1625.9598
17.0560, 1712.8327, 4023.2153, 1828.6566, 3899.8493, 1705.6462, 5201.2086, 1610.7115, 2350.8951, 1656.4830, 3403.4341, 1595.4670, 1627.6999, 1594.2353, 1627.1639
18.0560, 1713.0029, 4019.5930, 1827.8571, 3929.0839, 1706.6326, 5202.4883, 1612.4459, 2354.3639, 1659.4960, 3405.5609, 1596.2803, 1629.0187, 1594.2907, 1625.9193
19.0560, 1716.2397, 3966.5401, 1827.3211, 3956.8152, 1706.5127, 5194.0429, 1612.0328, 2357.9016, 1657.7824, 3401.3802, 1595.4334, 1629.1608, 1594.9981, 1626.9107
20.0560, 1713.5528, 3973.5646, 1826.0603, 3943.2267, 1706.0019, 5199.9630, 1612.0623, 2354.3246, 1657.1756, 3404.2495, 1597.4113, 1628.7059, 1593.9270, 1626.9343
21.0560, 1714.4080, 3985.1341, 1827.8427, 3932.9882, 1706.9708, 5193.0634, 1610.9770, 2358.0721, 1656.6507, 3399.1128, 1597.1911, 1628.5176, 1593.8148, 1626.3146
22.0560, 1712.5303, 3983.4051, 1826.6841, 3959.8480, 1705.1306, 5197.6540, 1610.8623, 2349.8721, 1656.6487, 3399.1347, 1595.5066, 1627.5562, 1593.7708, 1626.0481
23.0560, 1712.7505, 3989.0078, 1825.2647, 3987.9659, 1706.1520, 5191.7183, 1611.1541, 2348.9836, 1657.8174, 3399.0050, 1596.1019, 1628.1823, 1594.2843, 1625.8801
24.0560, 1713.3268, 3992.6086, 1824.6514, 3965.6999, 1705.8402, 5188.8177, 1608.1475, 2352.4131, 1656.2475, 3401.4910, 1596.2643, 1628.5661, 1592.7329, 1625.6653
25.0560, 1712.1184, 4002.4804, 1825.6435, 3996.0931, 1705.4786, 5188.1404, 1611.6492, 2353.3475, 1656.8034, 3401.5898, 1596.0204, 1627.0143, 1593.9353, 1625.8183
26.0560, 1713.8425, 4010.3738, 1822.8047, 4018.2425, 1705.3782, 5191.4922, 1609.6918, 2350.0984, 1655.4591, 3403.1188, 1594.8662, 1627.9692, 1594.1071, 1625.9378
27.0560, 1712.6996, 4012.0656, 1822.3853, 4038.2398, 1706.8314, 5186.9552, 1609.5967, 2355.4295, 1656.9431, 3407.6437, 1594.3678, 1628.0325, 1594.3226, 1625.3959
28.0560, 1711.0558, 4020.7466, 1821.4037, 4048.8440, 1706.6267, 5178.2632, 1610.8984, 2347.2984, 1655.3014, 3405.0669, 1594.3442, 1628.1261, 1593.9863, 1625.4523
29.0560, 1713.0000, 4024.5401, 1820.1756, 4068.9908, 1704.8177, 5181.0487, 1611.9410, 2352.4721, 1657.1088, 3403.5589, 1595.8552, 1628.4411, 1595.2920, 1626.0851
30.0560, 1712.6409, 4026.5440, 1821.6920, 4082.6566, 1705.9386, 5181.0585, 1609.3967, 2349.8393, 1656.6487, 3406.2834, 1596.4328, 1627.4983, 1592.7890, 1626.1693
31.0560, 1710.0137, 4034.0215, 1820.6933, 4057.2202, 1704.5526, 5187.0331, 1609.5377, 2349.6131, 1655.8812, 3405.9621, 1595.2247, 1627.6211, 1593.4689, 1626.8722
32.0560, 1711.5558, 4033.0431, 1820.0904, 4081.0419, 1703.2164, 5189.0673, 1610.2230, 2349.9377, 1656.6966, 3409.0299, 1596.4317, 1628.9141, 1593.6940, 1625.0453
33.0560, 1712.0157, 4037.7554, 1818.9633, 4104.9685, 1706.1579, 5188.0331, 1610.8885, 2349.7443, 1655.9960, 3408.2216, 1596.2192, 1628.0374, 1594.6943, 1626.4798
34.0560, 1711.6712, 4040.0519, 1818.9738, 4124.8021, 1704.8304, 5184.2710, 1612.2820, 2348.6000, 1657.2395, 3406.8084, 1597.5452, 1628.9526, 1594.8017, 1626.1980
35.0560, 1712.2495, 4049.0225, 1821.8663, 4125.0026, 1706.1248, 5189.1452, 1610.0525, 2353.2197, 1656.3653, 3409.1108, 1597.5831, 1628.5518, 1594.5113, 1625.7211
36.0560, 1710.5489, 4050.9070, 1820.2792, 4141.0459, 1705.8070, 5187.1365, 1611.5344, 2348.8984, 1655.7305, 3408.1467, 1595.1151, 1627.6646, 1594.7157, 1626.4093
