"File: DDELog(Excel:M7_DRG	1	1)::C:\Users\user\Desktop\clemens\19_07_22_ DRG_AOP\M7_DRG_19_7\M7.LOG"
"Date: Tue Jul 19 2022 14:45:8.837"
122.5140, "Wavelength Names:	340	385	GFP	Wavelength 4	555"
0.0000, "Clock reset to 0.0"
"Region 1: [Location: (30, 126), Size: (37, 38), Area: 1078]"
"Region 2: [Location: (227, 242), Size: (30, 33), Area: 770]"
"Region 3: [Location: (102, 306), Size: (21, 21), Area: 305]"
"Region 4: [Location: (0, 374), Size: (30, 28), Area: 656]"
"Region 5: [Location: (272, 398), Size: (27, 25), Area: 519]"
"Region 6: [Location: (274, 418), Size: (21, 21), Area: 305]"
"Region 7: [Location: (290, 422), Size: (29, 30), Area: 678]"
"Region 8: [Location: (142, 66), Size: (45, 47), Area: 1637]"
"Region 9: [Location: (163, 179), Size: (42, 48), Area: 1540]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R2 W1 Avg", "R2 W2 Avg", "R3 W1 Avg", "R3 W2 Avg", "R4 W1 Avg", "R4 W2 Avg", "R5 W1 Avg", "R5 W2 Avg", "R6 W1 Avg", "R6 W2 Avg", "R7 W1 Avg", "R7 W2 Avg", "R8 W1 Avg", "R8 W2 Avg", "R9 W1 Avg", "R9 W2 Avg"
3.3200, 1770.2839, 4644.3247, 1708.6338, 3655.2117, 1653.9016, 2477.0852, 1773.7363, 5435.4375, 1776.3584, 5296.2216, 1760.4230, 4578.7246, 1719.7419, 3678.4056, 1641.1289, 1634.1387, 1633.0682, 1641.3870
4.3200, 1745.9527, 4637.4824, 1686.6961, 3653.7052, 1633.0820, 2481.5049, 1747.0579, 5429.7896, 1755.9287, 5295.0443, 1736.2885, 4578.6656, 1697.7257, 3680.7876, 1609.3946, 1632.5968, 1609.8968, 1639.7175
5.3200, 1746.8330, 4629.5204, 1688.4169, 3661.5870, 1632.3443, 2485.6328, 1749.0762, 5423.2104, 1755.3025, 5293.5318, 1735.0787, 4574.8066, 1696.8142, 3692.2699, 1609.5150, 1633.5589, 1610.1792, 1639.7058
6.3200, 1745.1503, 4629.6178, 1686.4831, 3654.4584, 1632.5148, 2483.7639, 1748.6494, 5417.7058, 1755.5549, 5301.5857, 1739.1902, 4566.0721, 1697.0649, 3639.0767, 1609.3677, 1633.1637, 1610.0117, 1640.3182
7.3200, 1745.4536, 4628.8275, 1685.4377, 3654.2000, 1632.5705, 2487.8098, 1747.9223, 5418.7134, 1755.2987, 5306.0906, 1738.5279, 4568.1967, 1696.1578, 3651.0472, 1608.5644, 1632.0880, 1609.2312, 1639.4662
8.3200, 1744.8256, 4628.2384, 1686.4818, 3650.0571, 1631.5869, 2488.8590, 1748.3049, 5404.5686, 1755.0694, 5298.8555, 1734.3213, 4571.7475, 1695.9366, 3662.9661, 1608.6854, 1633.1558, 1609.9422, 1639.4292
9.3200, 1747.2829, 4622.1800, 1684.8987, 3646.1234, 1632.3902, 2490.6623, 1748.7149, 5401.5991, 1756.0829, 5296.5067, 1738.1869, 4564.1115, 1697.4617, 3612.5693, 1609.0764, 1632.2505, 1609.6773, 1641.3805
10.3200, 1747.6206, 4622.5612, 1684.8234, 3644.5935, 1631.6918, 2484.1902, 1748.3689, 5388.6250, 1756.6050, 5299.9884, 1736.1246, 4576.8787, 1697.8009, 3627.8186, 1609.7538, 1632.0483, 1609.8662, 1640.4468
11.3200, 1744.7737, 4621.6800, 1686.1182, 3646.9377, 1632.3016, 2479.9508, 1748.2226, 5382.0137, 1757.0116, 5289.7457, 1736.2525, 4562.1443, 1698.5236, 3585.8319, 1609.0629, 1632.1869, 1609.6266, 1641.4916
12.3200, 1746.7904, 4612.9842, 1686.9844, 3641.8494, 1632.4164, 2482.7508, 1749.7027, 5376.8918, 1757.9576, 5297.1811, 1737.6426, 4564.9180, 1698.4764, 3597.9130, 1608.3677, 1633.0843, 1608.8721, 1639.6896
13.3200, 1745.2226, 4611.4017, 1685.7468, 3644.2039, 1631.7049, 2482.8197, 1749.3415, 5377.2866, 1756.3064, 5301.2486, 1737.9246, 4573.3574, 1698.3953, 3613.7935, 1607.9762, 1632.8406, 1609.4305, 1641.2292
14.3200, 1746.0798, 4606.9314, 1686.5273, 3642.7519, 1632.0689, 2480.4623, 1748.6890, 5362.7378, 1757.1753, 5306.3584, 1736.6525, 4583.0623, 1698.9558, 3625.7345, 1608.1998, 1632.9426, 1608.9461, 1640.5201
15.3200, 1745.8776, 4597.2078, 1686.0623, 3638.9714, 1632.1738, 2476.5902, 1746.9527, 5347.1311, 1755.2678, 5301.3873, 1738.7639, 4588.9639, 1697.1372, 3631.5103, 1608.1967, 1631.8296, 1609.0526, 1639.8331
16.3200, 1746.0195, 4594.9610, 1685.8130, 3636.5818, 1632.2393, 2481.7836, 1746.9375, 5347.4070, 1758.1156, 5318.9499, 1739.6000, 4576.9311, 1696.8732, 3641.8805, 1609.0134, 1631.7330, 1609.6604, 1639.9695
17.3200, 1746.7523, 4591.8033, 1687.6039, 3634.6104, 1631.6820, 2483.9934, 1746.0061, 5347.7988, 1754.9326, 5309.0154, 1737.1311, 4590.9639, 1694.7345, 3651.8820, 1609.2584, 1632.3897, 1609.6461, 1640.5935
18.3200, 1746.4722, 4588.1067, 1685.1117, 3636.8766, 1633.2557, 2485.7049, 1746.9329, 5336.6845, 1756.6917, 5311.0347, 1736.4230, 4579.5836, 1696.4292, 3605.0472, 1609.5211, 1631.8088, 1609.0870, 1639.1987
19.3200, 1746.0482, 4587.9462, 1686.7909, 3636.0779, 1632.7344, 2477.5377, 1747.6082, 5335.2180, 1755.4547, 5307.2640, 1737.0689, 4581.3508, 1698.0206, 3612.2552, 1608.7361, 1633.4563, 1610.3227, 1641.3935
20.3200, 1744.9583, 4591.6197, 1686.5571, 3631.1714, 1632.7738, 2480.9082, 1745.8338, 5328.7378, 1755.8208, 5293.5222, 1736.5803, 4580.7115, 1697.8156, 3622.3510, 1609.0153, 1631.9859, 1608.4721, 1639.8760
21.3200, 1746.4147, 4587.3878, 1685.5701, 3631.1922, 1632.6098, 2477.3180, 1746.2485, 5322.3201, 1754.2062, 5296.6840, 1733.8951, 4579.5770, 1696.6180, 3626.6342, 1607.0965, 1632.6903, 1609.2474, 1639.0234
22.3200, 1745.0427, 4581.0000, 1685.8714, 3624.8247, 1633.2951, 2477.3115, 1745.3674, 5328.1006, 1755.6204, 5290.7052, 1734.2426, 4579.9311, 1695.8112, 3633.7861, 1607.8210, 1632.0641, 1609.9922, 1640.0539
23.3200, 1745.9007, 4577.8349, 1685.6688, 3622.9688, 1631.4066, 2477.0623, 1745.1052, 5325.1524, 1756.8593, 5294.1888, 1739.0230, 4590.4918, 1695.6888, 3640.6814, 1608.5144, 1632.6469, 1611.2623, 1640.9636
24.3200, 1746.7328, 4578.9564, 1686.0000, 3625.5532, 1633.9738, 2471.0262, 1746.6829, 5315.2165, 1755.0559, 5295.5453, 1736.7607, 4576.4459, 1695.5000, 3649.8142, 1609.8247, 1632.5034, 1609.5078, 1638.3656
25.3200, 1743.6234, 4573.7226, 1686.6195, 3620.4390, 1632.6295, 2470.3443, 1746.5762, 5316.4649, 1754.9094, 5280.8767, 1735.7738, 4569.8262, 1695.4041, 3651.6136, 1608.2071, 1632.2480, 1609.2857, 1640.6753
26.3200, 1744.7328, 4560.4601, 1685.3455, 3617.7156, 1630.7443, 2468.5082, 1747.1768, 5310.6555, 1755.1021, 5290.4085, 1737.0000, 4587.8426, 1696.1799, 3657.6593, 1608.8962, 1631.8412, 1609.3779, 1639.9409
27.3200, 1747.0519, 4562.0909, 1684.5506, 3615.3312, 1630.0557, 2464.4623, 1744.5442, 5306.5152, 1755.1252, 5289.9653, 1737.4820, 4592.8689, 1693.1962, 3664.3024, 1609.4221, 1631.2792, 1609.5714, 1639.5987
28.3200, 1746.2458, 4555.0631, 1683.9753, 3622.6260, 1635.8525, 2468.3705, 1746.6280, 5302.6189, 1756.6609, 5288.8825, 1738.7475, 4578.0230, 1696.2050, 3618.0000, 1608.4276, 1632.4783, 1608.6448, 1639.8318
29.3200, 1746.1456, 4561.7134, 1686.3403, 3616.5039, 1633.0754, 2466.7607, 1743.6723, 5298.0412, 1755.8902, 5296.0077, 1738.2033, 4581.8885, 1696.1534, 3630.3112, 1608.3586, 1631.6286, 1610.2929, 1639.6084
30.3200, 1745.2115, 4558.7709, 1683.7636, 3611.8727, 1632.2033, 2464.8131, 1746.5015, 5278.1402, 1754.1869, 5300.6782, 1736.9180, 4573.6820, 1696.8643, 3580.5575, 1608.7098, 1631.6445, 1609.2513, 1640.9364
31.3200, 1745.7829, 4559.3256, 1685.6104, 3610.1779, 1631.9082, 2466.0852, 1744.5518, 5284.9375, 1752.2948, 5293.8382, 1737.6492, 4573.0197, 1697.6814, 3549.0059, 1608.3329, 1631.4447, 1608.5617, 1638.8227
32.3200, 1746.8729, 4561.6271, 1685.1987, 3605.4701, 1632.7967, 2464.3902, 1744.7332, 5277.0229, 1753.2370, 5300.9152, 1735.9344, 4586.0721, 1696.5693, 3576.5944, 1609.5461, 1631.2309, 1610.2740, 1640.5747
33.3200, 1745.2375, 4559.3831, 1685.0974, 3604.9701, 1629.1508, 2463.8197, 1743.2744, 5264.1768, 1753.0385, 5298.6243, 1735.4852, 4582.1902, 1695.4248, 3587.4646, 1608.2627, 1631.0415, 1609.2565, 1639.2961
34.3200, 1746.2468, 4556.2625, 1684.6740, 3602.0506, 1633.1639, 2460.1377, 1744.2332, 5263.0396, 1753.6435, 5299.0694, 1738.3607, 4589.9410, 1696.5619, 3605.1283, 1608.6310, 1631.8002, 1608.4370, 1638.7273
35.3200, 1745.0204, 4560.5974, 1684.5117, 3605.6571, 1632.1115, 2461.7016, 1742.2500, 5262.5351, 1752.8709, 5298.9383, 1736.5541, 4577.4459, 1696.3761, 3561.4897, 1609.6023, 1631.5302, 1608.5032, 1638.9169
36.3200, 1744.7171, 4564.3210, 1686.2675, 3610.6351, 1632.9016, 2459.6164, 1743.0960, 5251.8293, 1753.0925, 5307.5665, 1737.7311, 4587.6525, 1696.6519, 3581.1268, 1609.6060, 1632.2419, 1609.2305, 1639.9675
37.3200, 1745.4184, 4560.0111, 1685.0117, 3603.4039, 1631.3869, 2459.4361, 1745.1814, 5259.1951, 1754.9422, 5297.8170, 1733.8656, 4570.5869, 1695.3319, 3547.3717, 1608.2590, 1631.1118, 1609.1279, 1639.5818
38.3200, 1745.6827, 4566.3989, 1684.6117, 3606.0403, 1632.5049, 2458.1475, 1743.8338, 5256.4665, 1754.7553, 5294.6339, 1735.4262, 4584.7115, 1695.6932, 3566.2758, 1609.1521, 1631.9933, 1610.0468, 1640.2532
