"File: DDELog(Excel:M8	1	1)::C:\Users\user\Desktop\clemens\19_07_22_ DRG_AOP\M8_DRG_19_7\M8.LOG"
"Date: Tue Jul 19 2022 15:1:2.985"
59.4590, "Wavelength Names:	340	385	GFP	Wavelength 4	555"
0.0000, "Clock reset to 0.0"
"Region 1: [Location: (254, 95), Size: (50, 38), Area: 1464]"
"Region 2: [Location: (305, 222), Size: (32, 37), Area: 908]"
"Region 3: [Location: (326, 391), Size: (33, 39), Area: 995]"
"Region 4: [Location: (125, 410), Size: (29, 34), Area: 758]"
"Region 5: [Location: (156, 244), Size: (25, 22), Area: 430]"
"Region 6: [Location: (106, 118), Size: (21, 21), Area: 305]"
"Region 7: [Location: (125, 126), Size: (21, 21), Area: 305]"
"Region 8: [Location: (134, 144), Size: (21, 21), Area: 305]"
"Region 9: [Location: (93, 155), Size: (21, 21), Area: 305]"
"Region 10: [Location: (159, 37), Size: (35, 40), Area: 1086]"
"Region 11: [Location: (200, 106), Size: (29, 45), Area: 1009]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R2 W1 Avg", "R2 W2 Avg", "R3 W1 Avg", "R3 W2 Avg", "R4 W1 Avg", "R4 W2 Avg", "R5 W1 Avg", "R5 W2 Avg", "R6 W1 Avg", "R6 W2 Avg", "R7 W1 Avg", "R7 W2 Avg", "R8 W1 Avg", "R8 W2 Avg", "R9 W1 Avg", "R9 W2 Avg", "R10 W1 Avg", "R10 W2 Avg", "R11 W1 Avg", "R11 W2 Avg"
2.3440, 1766.0560, 4986.6639, 1732.0529, 3556.6333, 1707.2462, 2979.0523, 1768.8536, 4307.1636, 1675.1233, 2640.7558, 1708.0918, 3803.1475, 1748.9770, 4242.3902, 1726.9541, 4132.8230, 1700.8000, 3327.5541, 1634.1446, 1629.9337, 1633.7869, 1641.8355
3.3440, 1743.6810, 4985.5505, 1708.6674, 3563.1531, 1683.8915, 2970.1226, 1747.3193, 4308.8113, 1654.6698, 2644.0744, 1684.6295, 3801.8984, 1725.5213, 4231.8492, 1705.6623, 4129.8557, 1678.7967, 3328.7738, 1605.7578, 1628.0488, 1606.2834, 1639.7007
4.3440, 1743.3996, 4996.4679, 1709.7478, 3566.1872, 1684.6231, 2949.4221, 1747.4881, 4304.3760, 1653.8349, 2654.3744, 1684.8033, 3788.4820, 1725.2820, 4232.6230, 1702.3574, 4125.5705, 1676.6689, 3330.4820, 1604.0562, 1628.7928, 1604.7265, 1639.8831
5.3440, 1743.8962, 5002.2022, 1707.3623, 3575.7015, 1683.8513, 2943.1558, 1748.3074, 4292.0079, 1651.2907, 2655.2930, 1685.0328, 3796.4689, 1728.5770, 4229.0164, 1703.7049, 4144.3082, 1676.2721, 3324.7639, 1604.3177, 1628.6575, 1605.7701, 1639.4955
6.3440, 1742.5922, 5007.0984, 1708.5947, 3583.4945, 1684.3286, 2950.0010, 1748.4142, 4272.4367, 1653.7372, 2654.6605, 1686.6557, 3793.3967, 1725.6492, 4234.3705, 1702.6459, 4125.6689, 1679.9934, 3325.3902, 1603.6621, 1627.7965, 1604.4500, 1638.9772
7.3440, 1743.1831, 5010.4112, 1707.5463, 3595.9802, 1683.8090, 2955.5809, 1747.2968, 4288.8958, 1652.5372, 2657.5791, 1684.2918, 3791.7770, 1723.6787, 4242.6754, 1702.0656, 4131.9672, 1676.4885, 3327.3082, 1603.2145, 1627.5948, 1604.3053, 1638.1407
8.3440, 1743.2131, 5007.9105, 1707.6476, 3604.2511, 1685.4784, 2959.9276, 1746.0792, 4300.5752, 1651.2140, 2659.5047, 1683.4000, 3797.2590, 1721.7607, 4234.0098, 1702.8000, 4128.5934, 1678.6852, 3330.6000, 1603.6593, 1628.5562, 1605.2250, 1638.6898
9.3440, 1743.4016, 5017.3839, 1706.9736, 3608.9328, 1684.5568, 2957.5628, 1747.5580, 4317.0699, 1651.0047, 2649.7395, 1684.5902, 3797.2656, 1723.1344, 4235.4262, 1700.0951, 4124.4852, 1675.7049, 3326.6787, 1603.4033, 1628.2781, 1603.1863, 1640.5144
10.3440, 1742.6127, 5019.8484, 1707.0782, 3615.3150, 1684.8131, 2958.8231, 1745.8219, 4321.7599, 1653.9651, 2651.3233, 1685.6066, 3795.6590, 1725.4918, 4238.5836, 1703.2984, 4129.1311, 1678.5574, 3323.2197, 1603.8269, 1627.7182, 1605.0307, 1639.3409
11.3440, 1743.4194, 5027.0178, 1707.4780, 3622.5914, 1683.9075, 2961.0643, 1746.3021, 4327.0290, 1652.4767, 2648.3047, 1682.3279, 3804.5738, 1724.3738, 4237.5443, 1703.9738, 4122.6361, 1676.2459, 3326.5410, 1603.7762, 1627.3241, 1604.1417, 1639.8335
12.3440, 1742.7883, 5029.4460, 1707.8183, 3616.9736, 1682.7608, 2958.4171, 1745.2744, 4332.8694, 1652.7349, 2643.7907, 1684.0656, 3794.2820, 1723.5967, 4243.3443, 1703.6885, 4122.5180, 1679.0098, 3320.6262, 1603.7403, 1627.2357, 1603.3132, 1639.5738
13.3440, 1741.6400, 5034.2425, 1705.6311, 3626.9681, 1683.6472, 2951.4784, 1744.5937, 4322.0620, 1652.1233, 2645.9186, 1686.1541, 3801.7705, 1722.4098, 4249.6984, 1705.0918, 4117.5541, 1674.6426, 3323.2262, 1603.2155, 1628.6308, 1604.6511, 1638.8949
14.3440, 1742.6298, 5034.0239, 1707.6927, 3626.0848, 1685.1819, 2952.0080, 1744.8074, 4329.9024, 1652.3000, 2644.2698, 1686.4852, 3795.7508, 1725.6361, 4243.9279, 1702.9279, 4115.8393, 1676.6262, 3326.7180, 1602.9972, 1628.0175, 1604.4569, 1636.6006
15.3440, 1741.7575, 5032.5246, 1707.1432, 3629.6178, 1685.1256, 2950.0834, 1746.5435, 4321.5066, 1654.0581, 2637.9070, 1687.0459, 3797.8557, 1725.2689, 4249.4492, 1705.8623, 4112.2885, 1676.1180, 3325.3541, 1604.5709, 1628.2238, 1603.8236, 1639.4916
16.3440, 1742.7206, 5032.6393, 1705.5661, 3639.6575, 1683.6744, 2939.9317, 1745.3074, 4318.6741, 1652.7047, 2644.1767, 1686.0852, 3795.9967, 1726.4328, 4249.0000, 1703.2852, 4111.2852, 1677.8918, 3326.3639, 1602.6915, 1628.0239, 1605.4757, 1640.0218
17.3440, 1742.8661, 5036.4761, 1707.1145, 3642.3205, 1684.6211, 2910.0462, 1745.9485, 4314.2322, 1650.5930, 2649.1326, 1686.5934, 3797.9213, 1721.8393, 4241.6459, 1705.4754, 4113.2852, 1678.0131, 3328.2230, 1603.1050, 1628.3039, 1605.3479, 1639.4609
18.3440, 1741.8579, 5028.4563, 1703.5683, 3642.0683, 1682.8372, 2909.2543, 1744.4222, 4282.5264, 1652.8395, 2655.3930, 1687.4098, 3862.8164, 1725.3574, 4235.1508, 1700.8951, 4074.1770, 1678.4754, 3326.6262, 1601.8269, 1627.9825, 1604.2953, 1639.3152
19.3440, 1740.3552, 5015.8702, 1705.4736, 3637.3711, 1683.4131, 2903.8010, 1742.9894, 4249.0633, 1652.4442, 2654.0372, 1691.1082, 3922.2066, 1721.8361, 4214.5508, 1700.1410, 4016.4000, 1679.8656, 3324.9443, 1603.3969, 1628.2781, 1603.7166, 1638.3806
20.3440, 1740.9686, 5016.7083, 1705.5022, 3635.4637, 1683.5226, 2894.1196, 1743.8588, 4231.4288, 1651.0884, 2646.3372, 1694.2951, 3941.4033, 1721.7541, 4216.1377, 1699.7705, 4018.1475, 1680.1016, 3324.6426, 1602.9088, 1628.5645, 1606.2953, 1638.3964
21.3440, 1741.3579, 5021.2070, 1702.4659, 3636.6079, 1684.8231, 2894.5035, 1746.4802, 4189.4446, 1652.6140, 2651.6279, 1693.4492, 3934.4590, 1722.1377, 4206.1180, 1697.5574, 4007.2787, 1677.7902, 3332.7672, 1604.1492, 1627.8416, 1604.7393, 1639.4470
22.3440, 1740.6564, 5020.9392, 1705.5826, 3633.8106, 1684.5136, 2884.8774, 1746.1478, 4191.4472, 1651.9884, 2652.8953, 1694.5607, 3942.0951, 1722.3607, 4197.1049, 1698.4098, 4002.9049, 1680.6754, 3324.7180, 1603.4438, 1628.5902, 1605.4014, 1637.7820
23.3440, 1740.7384, 5007.8224, 1706.3546, 3633.4791, 1684.2201, 2894.3307, 1744.5541, 4198.4894, 1651.3814, 2654.6186, 1696.8951, 3951.4197, 1725.6033, 4203.1082, 1697.2131, 3998.7148, 1679.3705, 3335.6000, 1603.7983, 1629.1418, 1605.1853, 1639.1477
24.3440, 1739.6913, 5001.4966, 1705.3822, 3635.0584, 1683.6352, 2901.4432, 1744.3166, 4206.8391, 1652.2860, 2656.9047, 1691.5541, 3959.3574, 1717.1541, 4200.4262, 1696.6918, 3987.6164, 1678.4787, 3328.8656, 1604.0295, 1627.6796, 1603.6819, 1639.1477
25.3440, 1740.5075, 4990.1837, 1704.2181, 3632.7203, 1683.3920, 2905.9005, 1744.6728, 4221.7098, 1652.7395, 2652.9814, 1693.0328, 3961.7902, 1723.2590, 4205.1344, 1697.5705, 3983.7770, 1678.6918, 3329.8656, 1602.6262, 1628.2007, 1604.5956, 1639.4529
26.3440, 1740.5745, 4990.2814, 1703.9570, 3626.5374, 1682.9256, 2916.0000, 1744.5937, 4195.9063, 1650.4884, 2653.2372, 1693.3803, 3970.8098, 1718.7213, 4203.4033, 1694.0689, 3977.6131, 1678.2164, 3321.7344, 1602.9300, 1628.1087, 1604.2408, 1637.8920
27.3440, 1740.7801, 4990.3777, 1703.4626, 3634.3722, 1683.2201, 2914.7065, 1744.2467, 4186.0620, 1650.9326, 2647.3419, 1692.6656, 3980.8000, 1719.6623, 4204.2623, 1695.5836, 3973.6918, 1680.0721, 3328.7770, 1604.2072, 1626.9669, 1603.6274, 1639.5847
28.3440, 1740.9160, 4987.6708, 1703.3756, 3632.3546, 1682.6794, 2900.9075, 1744.8325, 4167.6003, 1650.0163, 2651.9698, 1692.8262, 3985.4656, 1719.9836, 4193.7934, 1693.1049, 3962.8525, 1676.9443, 3325.7639, 1604.1584, 1627.6888, 1604.1506, 1639.4381
29.3440, 1738.9795, 4990.6202, 1703.4659, 3634.9460, 1683.3879, 2903.6131, 1746.9129, 4159.5765, 1652.4581, 2651.9442, 1693.8852, 3986.3246, 1720.4984, 4208.8787, 1696.9049, 3959.8623, 1678.9049, 3325.2098, 1603.2634, 1627.8223, 1603.8285, 1638.8295
30.3440, 1739.7500, 4991.8798, 1703.7819, 3642.5231, 1684.4442, 2898.5518, 1746.4340, 4141.5277, 1650.8860, 2651.9116, 1694.4820, 3996.5344, 1720.5049, 4214.8098, 1695.3902, 3962.9049, 1681.6984, 3328.7246, 1603.1114, 1627.9401, 1604.5481, 1638.2953
31.3440, 1741.8169, 4988.8340, 1704.9824, 3648.8227, 1682.9296, 2898.0131, 1743.4393, 4130.2216, 1650.1256, 2655.1837, 1693.6230, 3989.5574, 1719.1148, 4204.5738, 1696.8066, 3957.9344, 1679.5246, 3330.0557, 1604.6252, 1627.7698, 1605.8057, 1640.1001
32.3440, 1741.2193, 4997.0902, 1703.6200, 3655.0727, 1683.4462, 2903.5025, 1748.1939, 4093.4868, 1651.8977, 2654.1558, 1695.0492, 4000.2230, 1722.1475, 4201.9639, 1695.1016, 3948.4328, 1679.2328, 3331.9738, 1605.0424, 1627.5037, 1605.7037, 1638.7076
33.3440, 1739.8777, 4998.6503, 1704.2081, 3659.8084, 1682.8111, 2902.1980, 1746.0897, 4077.8641, 1651.5116, 2653.3721, 1696.4197, 4001.4787, 1719.9967, 4198.4689, 1696.3541, 3951.1902, 1680.4426, 3328.0918, 1603.6639, 1627.3425, 1604.5610, 1639.5282
34.3440, 1740.4331, 4996.4740, 1704.4659, 3668.2885, 1683.6312, 2907.1045, 1746.7098, 4065.5172, 1651.9047, 2651.1814, 1695.2197, 4009.6951, 1720.8984, 4211.0492, 1695.9246, 3940.6492, 1681.5148, 3334.1574, 1604.0184, 1629.5838, 1605.8256, 1638.8662
35.3440, 1741.0840, 4997.4911, 1705.1817, 3667.2555, 1681.8211, 2897.9166, 1745.3654, 4034.5976, 1650.6581, 2648.1651, 1697.6820, 4009.2000, 1723.1672, 4197.4754, 1694.9115, 3947.7115, 1681.5639, 3328.7180, 1603.7422, 1628.1004, 1605.7384, 1638.5798
36.3440, 1739.3893, 5000.8675, 1704.3546, 3666.2731, 1681.9447, 2894.2673, 1748.8127, 4014.3905, 1652.5512, 2653.8000, 1695.3508, 4014.9410, 1722.7115, 4199.1770, 1695.7410, 3936.3213, 1678.2197, 3327.8557, 1603.6648, 1630.0285, 1605.8077, 1639.8365
37.3440, 1740.4898, 4999.2917, 1704.3139, 3667.1773, 1683.4281, 2879.4925, 1747.2005, 4001.4367, 1654.7814, 2648.9977, 1696.0361, 4020.2590, 1722.5279, 4195.7738, 1696.2885, 3940.0361, 1681.6459, 3332.2230, 1603.9208, 1629.1851, 1606.2339, 1638.0971
38.3440, 1737.9146, 4994.7773, 1702.2236, 3677.1982, 1683.3940, 2884.3106, 1749.1280, 3991.4828, 1651.8907, 2645.0628, 1695.3115, 4029.9836, 1718.0754, 4198.9934, 1694.7377, 3931.4197, 1677.7475, 3322.6262, 1603.2394, 1627.5663, 1604.7542, 1638.3241
39.3440, 1740.0096, 4999.6940, 1703.7764, 3675.8656, 1681.4090, 2879.5729, 1745.1768, 3998.4670, 1653.1000, 2645.9605, 1695.3213, 4023.4623, 1720.5344, 4207.0656, 1695.0295, 3924.0557, 1678.8066, 3329.9672, 1604.1547, 1628.5654, 1605.7532, 1639.2468
40.3440, 1739.0102, 4995.7507, 1702.7104, 3678.9802, 1684.5045, 2872.3538, 1747.3113, 3988.3034, 1650.0767, 2647.3163, 1694.7475, 4027.3475, 1719.6197, 4206.6525, 1692.7574, 3917.3148, 1678.3344, 3327.0066, 1603.5700, 1629.1059, 1606.1962, 1639.0515
41.3440, 1739.1926, 5002.4037, 1702.0132, 3681.5452, 1681.6201, 2884.0613, 1745.9815, 3978.7691, 1650.4907, 2649.4349, 1696.9869, 4029.3475, 1721.6197, 4203.2197, 1694.4262, 3906.1770, 1678.5049, 3330.5541, 1602.9991, 1627.6556, 1606.5144, 1639.9118
42.3440, 1738.4665, 4998.0184, 1702.4427, 3671.5738, 1682.0482, 2873.4372, 1745.8351, 3979.1042, 1651.5023, 2646.4116, 1695.6590, 4038.1344, 1718.2820, 4195.5213, 1697.7541, 3907.8525, 1680.5869, 3325.9344, 1604.6013, 1629.7532, 1604.9465, 1639.2042
43.3440, 1736.9051, 5000.9850, 1703.3767, 3669.6002, 1683.2372, 2878.6241, 1746.4538, 3955.4103, 1650.3209, 2650.2093, 1696.8492, 4027.1869, 1718.5672, 4200.4361, 1694.8098, 3913.3016, 1678.1016, 3325.4033, 1604.1611, 1628.1519, 1604.0595, 1639.9415
44.3440, 1738.2029, 4996.4665, 1701.8546, 3669.9956, 1683.8764, 2878.4422, 1747.9604, 3954.9736, 1652.4512, 2652.5977, 1695.1279, 4040.6623, 1721.4820, 4207.4525, 1694.9016, 3903.7705, 1679.2230, 3325.4230, 1603.1446, 1627.4936, 1604.9881, 1637.7929
45.3440, 1738.0977, 4997.0383, 1701.5485, 3668.7775, 1681.7317, 2874.5698, 1745.7256, 3962.8206, 1650.7209, 2650.0093, 1696.7344, 4038.0361, 1718.8197, 4209.9738, 1694.3508, 3897.0426, 1675.9246, 3326.9311, 1604.0046, 1628.4144, 1604.3984, 1638.2745
46.3440, 1737.9857, 4993.5676, 1701.4989, 3680.2070, 1680.4332, 2878.3477, 1745.2863, 3965.5000, 1650.9977, 2645.7279, 1695.8393, 4035.6951, 1719.2885, 4200.3082, 1694.5344, 3905.8951, 1677.8295, 3323.3902, 1604.5902, 1627.1768, 1604.4718, 1639.3112
47.3440, 1738.0867, 4987.4358, 1702.0220, 3682.5132, 1682.1930, 2870.9467, 1746.3773, 3969.0449, 1651.9930, 2643.4581, 1696.5803, 4044.0951, 1718.5443, 4202.7443, 1695.2131, 3893.0492, 1678.6525, 3325.7541, 1602.6759, 1626.4236, 1605.2825, 1639.4688
48.3440, 1736.9713, 4990.7992, 1699.8822, 3685.1718, 1683.8181, 2867.7558, 1746.4842, 3982.3575, 1651.0419, 2639.7047, 1695.5344, 4039.2689, 1721.0426, 4194.4426, 1694.9902, 3885.8820, 1678.5180, 3327.7475, 1603.4429, 1626.4420, 1604.6323, 1639.4856
49.3440, 1737.7964, 4984.4030, 1701.9328, 3684.0341, 1681.8422, 2861.1859, 1745.9538, 3988.8602, 1651.9372, 2646.9395, 1695.5541, 4052.7115, 1718.4393, 4184.6033, 1690.6393, 3881.3344, 1679.0098, 3324.1902, 1603.9484, 1626.9751, 1605.5154, 1639.3479
50.3440, 1736.6079, 4980.8654, 1701.8238, 3695.4846, 1681.2724, 2855.3910, 1743.7177, 4006.4789, 1652.2535, 2641.8233, 1696.3705, 4047.5672, 1719.2361, 4190.1836, 1693.5082, 3876.9639, 1680.6328, 3326.6262, 1603.5074, 1628.5737, 1604.1278, 1639.1397
51.3440, 1736.7227, 4986.4303, 1700.4857, 3699.1707, 1681.9467, 2861.7075, 1744.0950, 4013.7361, 1649.7000, 2645.3186, 1698.6721, 4036.1607, 1720.6623, 4188.3311, 1692.7967, 3863.3148, 1680.6951, 3324.1869, 1602.8195, 1628.0110, 1604.9643, 1639.0565
52.3440, 1735.9057, 4984.3518, 1699.8370, 3704.1916, 1681.2161, 2859.9216, 1742.5224, 4023.4617, 1651.3209, 2640.7767, 1695.5770, 4047.9770, 1715.9836, 4186.7770, 1696.7738, 3858.3574, 1679.2656, 3324.9902, 1603.6796, 1628.2707, 1604.7463, 1639.1615
53.3440, 1738.2493, 4983.1414, 1699.6267, 3704.5033, 1683.2332, 2858.6382, 1742.6887, 4036.6332, 1649.7256, 2644.3698, 1697.0918, 4050.5869, 1719.1869, 4190.2066, 1696.4393, 3847.5443, 1679.3705, 3322.0295, 1602.7403, 1627.6317, 1605.1060, 1637.4698
54.3440, 1737.0061, 4982.0587, 1698.2478, 3704.0628, 1680.4734, 2846.3186, 1743.9763, 4046.6148, 1650.4186, 2636.3070, 1695.4361, 4058.8852, 1717.8689, 4173.5639, 1691.5639, 3837.5574, 1678.1574, 3326.5607, 1603.9595, 1628.3223, 1603.4024, 1638.4549
55.3440, 1737.1175, 4981.1414, 1701.2588, 3713.7115, 1680.6523, 2860.8362, 1743.5158, 4057.8918, 1650.9465, 2638.7651, 1694.2131, 4055.2393, 1718.9836, 4180.8590, 1696.9869, 3837.3213, 1677.1180, 3324.7115, 1603.7035, 1627.8490, 1605.9752, 1637.8295
56.3440, 1736.5779, 4977.5943, 1701.3227, 3717.6256, 1681.8754, 2856.3317, 1741.4433, 4054.6412, 1650.9791, 2636.4744, 1694.2131, 4062.8656, 1719.7213, 4180.2164, 1695.9344, 3833.8197, 1677.4557, 3330.4820, 1603.7901, 1629.3039, 1605.6799, 1640.6690
57.3440, 1737.7917, 4975.9317, 1702.4769, 3715.8656, 1682.7236, 2848.1899, 1743.5567, 4057.5818, 1652.8860, 2635.7395, 1698.4820, 4062.9443, 1720.0754, 4166.4689, 1694.5016, 3828.4590, 1678.1049, 3330.6754, 1603.8315, 1628.2302, 1606.5778, 1638.1625
