"File: DDELog(Excel:M9	1	1)::C:\Users\user\Desktop\clemens\19_07_22_ DRG_AOP\M9_DRG_19_7\M9_S+T.LOG"
"Date: Tue Jul 19 2022 15:58:19.17"
0.0000, "Wavelength Names:	340	385	GFP	Wavelength 4	555"
"Time (sec)"
67.0910
101.8030
0.0000, "Clock reset to 0.0"
0.0000, "Clock reset to 0.0"
"Region 1: [Location: (294, 113), Size: (26, 25), Area: 506]"
"Region 2: [Location: (297, 135), Size: (25, 24), Area: 468]"
"Region 3: [Location: (350, 282), Size: (29, 31), Area: 695]"
"Region 4: [Location: (278, 266), Size: (39, 38), Area: 1150]"
"Region 5: [Location: (258, 289), Size: (23, 26), Area: 458]"
"Region 6: [Location: (122, 351), Size: (37, 35), Area: 991]"
"Region 7: [Location: (131, 404), Size: (40, 42), Area: 1300]"
"Region 8: [Location: (0, 472), Size: (24, 28), Area: 520]"
"Region 9: [Location: (84, 99), Size: (38, 36), Area: 1056]"
"Region 10: [Location: (26, 222), Size: (45, 47), Area: 1637]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R2 W1 Avg", "R2 W2 Avg", "R3 W1 Avg", "R3 W2 Avg", "R4 W1 Avg", "R4 W2 Avg", "R5 W1 Avg", "R5 W2 Avg", "R6 W1 Avg", "R6 W2 Avg", "R7 W1 Avg", "R7 W2 Avg", "R8 W1 Avg", "R8 W2 Avg", "R9 W1 Avg", "R9 W2 Avg", "R10 W1 Avg", "R10 W2 Avg"
18.8960, 1672.4545, 2916.9783, 1685.7521, 2865.9573, 1719.8676, 3447.3338, 1762.7643, 2622.3809, 1678.0459, 3039.9214, 1722.1483, 3396.9173, 1709.6300, 4119.2892, 1683.3019, 3501.1423, 1630.8561, 1642.4915, 1629.0568, 1637.0990
19.8960, 1650.8992, 2912.2470, 1663.5278, 2866.0064, 1699.7252, 3452.0777, 1741.7635, 2622.7904, 1659.5437, 3037.4694, 1704.0535, 3410.4955, 1689.4838, 4115.9585, 1658.7212, 3499.3288, 1605.6458, 1641.4318, 1604.3293, 1636.6940
20.8960, 1651.0929, 2910.3300, 1664.1838, 2865.3269, 1701.1281, 3456.6993, 1741.9078, 2620.8678, 1661.7293, 3042.8319, 1704.1685, 3402.3512, 1689.5377, 4113.6377, 1658.2865, 3501.0865, 1605.1042, 1641.6989, 1603.9169, 1635.4075
21.8960, 1648.4209, 2912.4862, 1661.7436, 2864.1816, 1699.8518, 3452.3036, 1741.0243, 2625.8017, 1659.4432, 3037.7183, 1703.7709, 3390.6993, 1689.1792, 4117.2754, 1658.5654, 3499.3712, 1605.5114, 1642.3210, 1604.4850, 1635.9517
22.8960, 1650.3755, 2913.0119, 1664.3397, 2863.1752, 1699.2791, 3450.1165, 1740.6009, 2621.6817, 1659.6703, 3033.3079, 1703.3602, 3380.2836, 1690.3577, 4114.3500, 1658.8673, 3496.5577, 1605.1070, 1641.0625, 1604.3983, 1636.5687
23.8960, 1650.7846, 2915.0632, 1663.5534, 2856.3568, 1700.3396, 3450.4086, 1742.1983, 2620.8800, 1660.0197, 3037.9585, 1703.0182, 3381.1433, 1688.6462, 4110.5754, 1658.8808, 3494.6865, 1606.2528, 1641.0521, 1605.0690, 1636.4056
24.8960, 1651.1028, 2909.5277, 1661.5107, 2856.9231, 1702.0964, 3449.9612, 1740.8765, 2619.3791, 1660.1943, 3037.0022, 1703.9041, 3374.8688, 1688.6377, 4111.8562, 1660.0692, 3491.1077, 1605.1468, 1640.5985, 1604.4307, 1636.3335
25.8960, 1650.6937, 2912.2372, 1661.3333, 2852.4765, 1699.7568, 3443.3338, 1741.0052, 2619.8600, 1658.9367, 3027.8275, 1702.7346, 3357.5772, 1689.1846, 4110.4954, 1660.3423, 3501.9096, 1606.3456, 1641.2169, 1604.2071, 1634.3561
26.8960, 1650.1700, 2913.9387, 1660.9274, 2855.5128, 1698.4345, 3437.6604, 1741.7104, 2618.1426, 1659.5087, 3036.0044, 1703.3269, 3354.9041, 1687.5085, 4109.1531, 1658.5346, 3494.1538, 1605.3239, 1640.3277, 1603.2822, 1636.4288
27.8960, 1648.8854, 2912.7589, 1662.8718, 2851.0470, 1698.3511, 3434.2647, 1739.7617, 2618.2713, 1657.5895, 3030.0699, 1701.8234, 3347.3269, 1688.6692, 4105.6323, 1657.7288, 3497.6212, 1604.8381, 1638.6364, 1603.8332, 1635.0800
